DATE,CLOCK,DB,HANDLER,TESTFOR,CLF,METRIC,VALUE

091616,1474062103.340318,school0,LACE1,school0,linear regression,RMSE,1.4589800228000711
091616,1474062103.344214,school0,LACE2,school0,linear regression,MAE,1.0704468064390766
091616,1474062103.34812,school0,LACE1,school0,decision tree,RMSE,1.3286247360350283
091616,1474062103.352441,school0,LACE2,school0,decision tree,MAE,1.2753623188405796
091616,1474062103.356058,school0,LACE1,school1,linear regression,RMSE,2.4702540803156601
091616,1474062103.360159,school0,LACE2,school1,linear regression,MAE,2.0731361156859327
091616,1474062103.36379,school0,LACE1,school1,decision tree,RMSE,2.433655857370109
091616,1474062103.368054,school0,LACE2,school1,decision tree,MAE,2.5810810810810811
091616,1474062103.372208,school0,LACE1,school2,linear regression,RMSE,3.4371585199541275
091616,1474062103.376565,school0,LACE2,school2,linear regression,MAE,2.7794719719184902
091616,1474062103.380652,school0,LACE1,school2,decision tree,RMSE,3.3031354654301537
091616,1474062103.385217,school0,LACE2,school2,decision tree,MAE,3.1702127659574466
091616,1474062103.388065,school0,LACE1,school3,linear regression,RMSE,2.0475053674203516
091616,1474062103.391465,school0,LACE2,school3,linear regression,MAE,1.4639134129465496
091616,1474062103.39444,school0,LACE1,school3,decision tree,RMSE,1.8044999707540437
091616,1474062103.398182,school0,LACE2,school3,decision tree,MAE,1.9705882352941178
091616,1474062103.401922,school1,LACE1,school0,linear regression,RMSE,2.5082041173176042
091616,1474062103.405496,school1,LACE2,school0,linear regression,MAE,1.9083917123785126
091616,1474062103.409357,school1,LACE1,school0,decision tree,RMSE,2.3415678508803257
091616,1474062103.413043,school1,LACE2,school0,decision tree,MAE,2.0724637681159419
091616,1474062103.41678,school1,LACE1,school1,linear regression,RMSE,2.1691359071233656
091616,1474062103.420333,school1,LACE2,school1,linear regression,MAE,1.6841033111389927
091616,1474062103.424314,school1,LACE1,school1,decision tree,RMSE,2.1707402498567943
091616,1474062103.428007,school1,LACE2,school1,decision tree,MAE,2.0270270270270272
091616,1474062103.432065,school1,LACE1,school2,linear regression,RMSE,2.6692085686069889
091616,1474062103.436219,school1,LACE2,school2,linear regression,MAE,1.872873546195098
091616,1474062103.44057,school1,LACE1,school2,decision tree,RMSE,2.4280503430028695
091616,1474062103.445082,school1,LACE2,school2,decision tree,MAE,1.9042553191489362
091616,1474062103.448053,school1,LACE1,school3,linear regression,RMSE,2.7282579798310356
091616,1474062103.450999,school1,LACE2,school3,linear regression,MAE,2.0653544083775643
091616,1474062103.454161,school1,LACE1,school3,decision tree,RMSE,2.8077535100697095
091616,1474062103.457126,school1,LACE2,school3,decision tree,MAE,2.5294117647058822
091616,1474062103.461419,school2,LACE1,school0,linear regression,RMSE,3.5527357079553701
091616,1474062103.465811,school2,LACE2,school0,linear regression,MAE,2.7075360191631375
091616,1474062103.470417,school2,LACE1,school0,decision tree,RMSE,2.9806741745403018
091616,1474062103.474916,school2,LACE2,school0,decision tree,MAE,3.8260869565217392
091616,1474062103.479968,school2,LACE1,school1,linear regression,RMSE,2.7322362289745823
091616,1474062103.484677,school2,LACE2,school1,linear regression,MAE,1.5881475098228484
091616,1474062103.489292,school2,LACE1,school1,decision tree,RMSE,2.1644948258883501
091616,1474062103.494734,school2,LACE2,school1,decision tree,MAE,2.5675675675675675
091616,1474062103.49973,school2,LACE1,school2,linear regression,RMSE,1.8867424079138178
091616,1474062103.504276,school2,LACE2,school2,linear regression,MAE,1.466993670861412
091616,1474062103.509155,school2,LACE1,school2,decision tree,RMSE,1.8721560163449715
091616,1474062103.514713,school2,LACE2,school2,decision tree,MAE,2.2659574468085109
091616,1474062103.51904,school2,LACE1,school3,linear regression,RMSE,3.3595748283934235
091616,1474062103.522939,school2,LACE2,school3,linear regression,MAE,2.2622976762113263
091616,1474062103.526763,school2,LACE1,school3,decision tree,RMSE,2.8786858630180383
091616,1474062103.530464,school2,LACE2,school3,decision tree,MAE,2.8235294117647061
091616,1474062103.533351,school3,LACE1,school0,linear regression,RMSE,1.7018000080553339
091616,1474062103.538526,school3,LACE2,school0,linear regression,MAE,0.98846773806796573
091616,1474062103.541447,school3,LACE1,school0,decision tree,RMSE,1.2446207050345288
091616,1474062103.546184,school3,LACE2,school0,decision tree,MAE,1.6086956521739131
091616,1474062103.549026,school3,LACE1,school1,linear regression,RMSE,1.9870226413293799
091616,1474062103.553892,school3,LACE2,school1,linear regression,MAE,2.0707332689145908
091616,1474062103.557246,school3,LACE1,school1,decision tree,RMSE,2.4072859555975925
091616,1474062103.562917,school3,LACE2,school1,decision tree,MAE,2.0
091616,1474062103.566506,school3,LACE1,school2,linear regression,RMSE,3.1401767060199477
091616,1474062103.572176,school3,LACE2,school2,linear regression,MAE,3.0073909878338574
091616,1474062103.575542,school3,LACE1,school2,decision tree,RMSE,3.4519603605869729
091616,1474062103.58335,school3,LACE2,school2,decision tree,MAE,2.9148936170212765
091616,1474062103.585561,school3,LACE1,school3,linear regression,RMSE,1.8148175815067382
091616,1474062103.589626,school3,LACE2,school3,linear regression,MAE,1.1276281303609759
091616,1474062103.591693,school3,LACE1,school3,decision tree,RMSE,1.5088164105762745
091616,1474062103.597318,school3,LACE2,school3,decision tree,MAE,1.8235294117647058
091616,1474062104.439433,school0,LACE1,school0,linear regression,RMSE,1.2459558876427868
091616,1474062104.44375,school0,LACE2,school0,linear regression,MAE,1.0171592799595137
091616,1474062104.448036,school0,LACE1,school0,decision tree,RMSE,1.2822682947461455
091616,1474062104.452967,school0,LACE2,school0,decision tree,MAE,1.2608695652173914
091616,1474062104.456558,school0,LACE1,school1,linear regression,RMSE,2.5280774189860531
091616,1474062104.461149,school0,LACE2,school1,linear regression,MAE,2.097343743213381
091616,1474062104.465014,school0,LACE1,school1,decision tree,RMSE,2.4317292541447739
091616,1474062104.469597,school0,LACE2,school1,decision tree,MAE,2.5540540540540539
091616,1474062104.473859,school0,LACE1,school2,linear regression,RMSE,3.6245546851926278
091616,1474062104.47844,school0,LACE2,school2,linear regression,MAE,3.0235121570317447
091616,1474062104.482515,school0,LACE1,school2,decision tree,RMSE,3.4583384767017602
091616,1474062104.487233,school0,LACE2,school2,decision tree,MAE,2.8191489361702127
091616,1474062104.490289,school0,LACE1,school3,linear regression,RMSE,1.8826562473036266
091616,1474062104.493693,school0,LACE2,school3,linear regression,MAE,1.4571308221932286
091616,1474062104.496623,school0,LACE1,school3,decision tree,RMSE,1.8169126734439824
091616,1474062104.501226,school0,LACE2,school3,decision tree,MAE,2.0588235294117645
091616,1474062104.505616,school1,LACE1,school0,linear regression,RMSE,2.388788308353897
091616,1474062104.510834,school1,LACE2,school0,linear regression,MAE,1.7629319036856397
091616,1474062104.514864,school1,LACE1,school0,decision tree,RMSE,2.1908167009167769
091616,1474062104.519799,school1,LACE2,school0,decision tree,MAE,2.4347826086956523
091616,1474062104.523661,school1,LACE1,school1,linear regression,RMSE,1.9920449407259235
091616,1474062104.529645,school1,LACE2,school1,linear regression,MAE,1.4264621323987705
091616,1474062104.53428,school1,LACE1,school1,decision tree,RMSE,1.8098714982108195
091616,1474062104.539962,school1,LACE2,school1,decision tree,MAE,2.0945945945945947
