DATE,CLOCK,MODEL,HANDELER,ORG(item#),PTZ(item#),ORG(rule#),PTZ(rule#),preserve rate,reveal rate
91916,1474301404,school,Lace2Out,90,78,2,0,0,0
91916,1474301406,school,Lace1Out,91,95,2,8,1,0.25
91916,1474301406,school,Lace2Out,94,85,2,0,0,0
91916,1474301408,school,Lace1Out,92,96,11,23,0.545,0.261
91916,1474301409,school,Lace2Out,90,86,3,0,0,0
91916,1474301411,school,Lace1Out,88,91,2,6,1,0.333
91916,1474301411,school,Lace2Out,93,96,2,13,0,0
91916,1474301413,school,Lace1Out,91,95,11,21,0.455,0.238
91916,1474301414,school,Lace2Out,88,90,3,4,0.667,0.5
91916,1474301416,school,Lace1Out,92,93,3,8,0.667,0.25
91916,1474301416,school,Lace2Out,91,88,0,3,0,0
91916,1474301418,school,Lace1Out,90,91,3,6,0.667,0.333
91916,1474301419,school,Lace2Out,90,92,0,0,0,0
91916,1474301421,school,Lace1Out,88,94,0,20,0,0
91916,1474301421,school,Lace2Out,92,91,12,5,0.167,0.4
91916,1474301423,school,Lace1Out,88,94,6,8,0.333,0.25
91916,1474301424,school,Lace2Out,89,86,2,4,0,0
91916,1474301426,school,Lace1Out,93,98,7,7,0,0
91916,1474301426,school,Lace2Out,91,84,10,2,0,0
91916,1474301428,school,Lace1Out,92,93,4,7,0,0
91916,1474301429,school,Lace2Out,91,98,3,9,0,0
91916,1474301431,school,Lace1Out,84,90,0,12,0,0
91916,1474301431,school,Lace2Out,92,89,2,3,0,0
91916,1474301433,school,Lace1Out,91,99,4,18,0.75,0.167
91916,1474301434,school,Lace2Out,89,90,4,4,0.75,0.75
91916,1474301436,school,Lace1Out,91,88,0,10,0,0
91916,1474301437,school,Lace2Out,99,86,6,1,0.167,1
91916,1474301438,school,Lace1Out,89,83,4,9,0.5,0.222
91916,1474301439,school,Lace2Out,94,94,3,5,0,0
91916,1474301441,school,Lace1Out,94,86,2,3,0,0
91916,1474301441,school,Lace2Out,91,98,4,9,1,0.444
91916,1474301443,school,Lace1Out,94,93,11,7,0.273,0.429
91916,1474301444,school,Lace2Out,89,91,0,0,0,0
91916,1474301446,school,Lace1Out,94,92,12,7,0.167,0.286
91916,1474301447,school,Lace2Out,90,88,1,10,1,0.1
91916,1474301448,school,Lace1Out,89,93,0,6,0,0
91916,1474301449,school,Lace2Out,87,101,2,4,0,0
91916,1474301451,school,Lace1Out,100,92,4,3,0,0
91916,1474301452,school,Lace2Out,96,94,6,2,0,0
