DATE,CLOCK,MODEL,SENSITIVE ATTR LIST,ORG,PTZ,IPR
091516,1473992197.276966,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",DataSet,Lace1Out,78
091516,1473992983.716492,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace1Out,80
091516,1473992984.405603,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace2Out,84
091516,1473993106.313369,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace1Out,73
091516,1473993106.949951,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace2Out,80
091616,1474051058.658126,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace1Out,82
091616,1474051059.296059,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace2Out,90
091616,1474051576.684589,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace1Out,75
091616,1474051577.401771,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace2Out,87
091616,1474057853.141165,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace1Out,77
091616,1474057853.859328,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace2Out,90
091616,1474059236.117326,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace1Out,90
091616,1474059236.829023,school,"['ADM_RATE', 'PCTFLOAN', 'C150_4']",TrainSet,Lace2Out,81
