INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
Auburn University at Montgomery,Montgomery,AL,1,0.8371,970,7625,0.6321,0.6476,0.4006,10750,0.2705,0.131,34500
Stillman College,Tuscaloosa,AL,2,0.43,882,10367,0.6123,0.8145,0.7429,19000,0.2619,0.22,23800
Troy University,Troy,AL,1,0.6821,990,8133,0.7389,0.6414,0.4758,17750,0.3466,0.132,35900
University of Alabama at Birmingham,Birmingham,AL,1,0.8673,1146,9033,0.8016,0.5397,0.3505,16250,0.5377,0.08,40000
University of Alabama in Huntsville,Huntsville,AL,1,0.8062,1180,8322,0.8098,0.4728,0.3281,16500,0.4835,0.077,43400
University of North Alabama,Florence,AL,1,0.8092,1028,6530,0.7079,0.6883,0.4192,12542,0.3216,0.134,33700
Arkansas State University-Main Campus,Jonesboro,AR,1,0.7551,1088,3527,0.7312,0.5289,0.4618,13300,0.3698,0.146,30600
Henderson State University,Arkadelphia,AR,1,0.6221,1011,2994,0.5716,0.5985,0.5296,10443,0.2854,0.154,32400
University of Arkansas at Little Rock,Little Rock,AR,1,0.5274,1077,6265,0.6973,0.4818,0.4027,14250,0.2438,0.105,33400
University of Central Arkansas,Conway,AR,1,0.8997,1070,4425,0.6977,0.492,0.3937,11864,0.4203,0.101,34400
Arizona State University-Tempe,Tempe,AZ,1,0.8023,1145,11705,0.844,0.4784,0.3376,16250,0.5947,0.085,43300
Biola University,La Mirada,CA,2,0.7286,1123,20770,0.8501,0.7762,0.3103,19688,0.6819,0.022,41700
California State Polytechnic University-Pomona,Pomona,CA,1,0.5218,1070,4577,0.8997,0.3883,0.4404,15703.5,0.5237,0.038,45200
California State University-Bakersfield,Bakersfield,CA,1,0.6626,901,3182,0.7442,0.4158,0.5843,11000,0.3946,0.096,41400
California State University-Chico,Chico,CA,1,0.7161,1014,5091,0.8665,0.452,0.3893,14889.5,0.5605,0.076,42900
California State University-Dominguez Hills,Carson,CA,1,0.5747,845,5563,0.7926,0.4291,0.5862,14191,0.2935,0.112,40900
California State University-East Bay,Hayward,CA,1,0.6872,910,6821,0.7753,0.3844,0.4426,12500,0.3808,0.058,47000
California State University-Fullerton,Fullerton,CA,1,0.4579,1021,6147,0.8853,0.3327,0.4061,12900.5,0.5347,0.056,41200
California State University-Los Angeles,Los Angeles,CA,1,0.6752,871,4287,0.8206,0.3924,0.6447,12000.5,0.3565,0.076,40300
California State University-San Bernardino,San Bernardino,CA,1,0.5831,888,5417,0.8879,0.4698,0.5799,16431,0.4112,0.097,40500
Charles R Drew University of Medicine and Science,Los Angeles,CA,2,0.8889,735,18909,1,0.7407,0.5185,21747,0.8301,0.066,67500
Claremont McKenna College,Claremont,CA,2,0.1173,1397,28851,0.9622,0.0862,0.1163,12086,0.9254,0,66800
Concordia University-Irvine,Irvine,CA,2,0.9119,1020,12540,0.7633,0.6231,0.2503,18112,0.6256,0.035,40100
Fresno Pacific University,Fresno,CA,2,0.7844,979,14221,0.8263,0.6928,0.5761,16802,0.5412,0.059,36500
Hope International University,Fullerton,CA,2,0.4681,951,11581,0.7315,0.7576,0.4989,17250,0.4508,0.063,36800
Life Pacific College,San Dimas,CA,2,0.7482,930,8619,0.6279,0.5427,0.3942,13000,0.5111,0.054,27700
Mount St Mary's College,Los Angeles,CA,2,0.7409,928,21833,0.7923,0.9203,0.5875,21500,0.6379,0.058,55900
Pacific Union College,Angwin,CA,2,0.5055,1017,16425,0.8457,0.8453,0.4393,20832,0.4452,0.057,49100
Saint Mary's College of California,Moraga,CA,2,0.6947,1115,22829,0.9005,0.5307,0.3267,21500,0.675,0.046,56200
San Francisco State University,San Francisco,CA,1,0.6379,998,6712,0.8211,0.3997,0.4239,15000,0.455,0.072,43300
San Jose State University,San Jose,CA,1,0.6347,1030,7238,0.8782,0.3548,0.3955,14000,0.4809,0.048,49200
Thomas Aquinas College,Santa Paula,CA,2,0.7921,1243,12168,0.869,0.7486,0.3568,15500,0.7955,0.011,29000
University of California-Los Angeles,Los Angeles,CA,1,0.2199,1289,15123,0.9626,0.374,0.3624,15200,0.9031,0.022,54900
University of California-Santa Barbara,Santa Barbara,CA,1,0.4444,1212,13553,0.9193,0.438,0.3798,15000,0.807,0.045,46000
University of La Verne,La Verne,CA,2,0.3895,1035,16881,0.8795,0.6816,0.4647,22218,0.5928,0.038,46200
Vanguard University of Southern California,Costa Mesa,CA,2,0.6977,980,15125,0.7609,0.7302,0.3797,19895,0.5232,0.049,35500
Adams State University,Alamosa,CO,1,0.526,939,6026,0.5592,0.629,0.5029,11000,0.227,0.093,31500
Colorado State University-Fort Collins,Fort Collins,CO,1,0.7743,1127,12292,0.8591,0.4739,0.2571,16707.5,0.6383,0.048,41000
Metropolitan State University of Denver,Denver,CO,1,0.7116,973,5392,0.658,0.512,0.3851,13450.5,0.2597,0.134,36300
University of Northern Colorado,Greeley,CO,1,0.6957,1029,9051,0.663,0.592,0.3514,14250,0.4638,0.059,36500
Western State Colorado University,Gunnison,CO,1,0.932,1005,7032,0.6837,0.2279,0.3143,12000,0.4242,0.055,32500
University of Connecticut-Avery Point,Groton,CT,1,0.594,1020,6277,0.7866,0.4771,0.2588,18983,0.4796,0.038,51100
Delaware State University,Dover,DE,1,0.4168,890,6458,0.6523,0.7236,0.5034,15000,0.3717,0.141,30200
Wesley College,Dover,DE,2,0.625,841,21945,0.5249,0.8011,0.4955,14250,0.2178,0.164,38600
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,2,0.7405,1105,31382,0.778,0.5962,0.3103,16500,0.569,0.046,54700
Florida Agricultural and Mechanical University,Tallahassee,FL,1,0.45,947,5104,0.8152,0.7476,0.6445,20750,0.4094,0.147,38500
Florida Atlantic University,Boca Raton,FL,1,0.4773,1039,5301,0.765,0.3996,0.3999,12500,0.4105,0.076,39200
Florida Gulf Coast University,Fort Myers,FL,1,0.6579,1024,4700,0.7663,0.4679,0.3467,11625,0.4416,0.063,37400
Johnson University Florida,Kissimmee,FL,2,0.4172,970,9703,0.7468,0.7861,0.5267,11000,0.3226,0.0755,29000
Lynn University,Boca Raton,FL,2,0.776,940,21746,0.6925,0.3005,0.2004,13000,0.4128,0.068,38000
The University of West Florida,Pensacola,FL,1,0.4808,1062,5712,0.7003,0.4931,0.4102,12500,0.4232,0.097,34600
Trinity Baptist College,Jacksonville,FL,2,0.4847,863,7156,0.4717,0.6554,0.6292,5500,0.3889,0.072,26200
Georgia Southwestern State University,Americus,GA,1,0.6803,950,4347,0.6497,0.5809,0.4773,14500,0.3582,0.087,32800
Georgia State University,Atlanta,GA,1,0.5466,1060,7284,0.8232,0.5883,0.5089,17070,0.5315,0.085,38400
LaGrange College,Lagrange,GA,2,0.5837,995,13383,0.6111,0.7986,0.452,18686.5,0.375,0.071,37700
Shorter University,Rome,GA,2,0.6807,954,9161,0.7076,0.6632,0.4729,25250,0.4638,0.121,45200
Hawaii Pacific University,Honolulu,HI,2,0.6411,1005,14333,0.6875,0.4436,0.257,16250,0.3961,0.044,45500
Buena Vista University,Storm Lake,IA,2,0.6955,1050,11004,0.693,0.8421,0.4897,17879,0.5265,0.078,35700
Wartburg College,Waverly,IA,2,0.7765,1077,15149,0.8091,0.6875,0.2519,24124,0.6262,0.046,39700
University of Idaho,Moscow,ID,1,0.6565,1070,7622,0.7861,0.5423,0.3985,18550,0.5381,0.083,38400
Dominican University,River Forest,IL,2,0.5997,1031,14554,0.8247,0.6566,0.4401,18656,0.6311,0.058,39800
Elmhurst College,Elmhurst,IL,2,0.718,1084,14793,0.7821,0.7156,0.3198,18791.5,0.7402,0.021,42900
Lincoln Christian University,Lincoln,IL,2,0.6875,996,13726,0.6712,0.7496,0.5156,18012,0.4667,0.083,29200
Northwestern University,Evanston,IL,2,0.1532,1458,28590,0.9769,0.3456,0.1416,18234,0.9419,0.013,73300
Roosevelt University,Chicago,IL,2,0.7878,1035,19952,0.5832,0.6706,0.4208,18144,0.4144,0.079,41400
Saint Xavier University,Chicago,IL,2,0.5054,1010,12927,0.7548,0.7819,0.4879,19150,0.4714,0.058,42700
Southern Illinois University-Edwardsville,Edwardsville,IL,1,0.8419,1050,8030,0.693,0.6017,0.3565,14317,0.5041,0.06,40000
University of Illinois at Urbana-Champaign,Champaign,IL,1,0.6239,1303,13770,0.9306,0.4097,0.2019,19399,0.838,0.035,52300
Calumet College of Saint Joseph,Whiting,IN,2,0.4,855,14657,0.6167,0.5559,0.4061,15500,0.3375,0.179,44700
DePauw University,Greencastle,IN,2,0.6121,1215,16598,0.9221,0.4277,0.1879,21000,0.7922,0.03,47400
Earlham College,Richmond,IN,2,0.637,1262,14943,0.8776,0.5179,0.2576,21197,0.71,0.037,30700
Franklin College,Franklin,IN,2,0.6002,1010,12848,0.7276,0.7797,0.4017,24500,0.571,0.035,36400
Goshen College,Goshen,IN,2,0.5506,1123,14115,0.7679,0.6314,0.2958,17000,0.703,0.037,35500
Grace College and Theological Seminary,Winona Lake,IN,2,0.7884,1050,8046,0.7674,0.5817,0.3444,17675,0.6053,0.037,31200
Hanover College,Hanover,IN,2,0.6673,1130,12306,0.8091,0.6866,0.3482,22225,0.7186,0.05,37700
Indiana University-Kokomo,Kokomo,IN,1,0.7355,950,4930,0.6086,0.3954,0.3195,12050,0.2756,0.12,36700
Indiana University-Southeast,New Albany,IN,1,0.7945,950,5156,0.6081,0.4133,0.3439,12500,0.3014,0.126,33700
Indiana Wesleyan University,Marion,IN,2,0.9515,1083,10115,0.7776,0.6958,0.3903,21500,0.655,0.061,49600
Manchester University,North Manchester,IN,2,0.7116,1017,10893,0.6882,0.9173,0.358,19500,0.4873,0.065,35100
Oakland City University,Oakland City,IN,2,0.7285,988,10681,0.79,0.1337,0.1264,10500,0.6299,0.126,32500
Saint Mary's College,Notre Dame,IN,2,0.8568,1141,17632,0.8753,0.6167,0.2029,26814,0.7119,0.016,43500
Valparaiso University,Valparaiso,IN,2,0.7969,1158,17416,0.8636,0.601,0.2537,23250,0.7013,0.044,42800
Benedictine College,Atchison,KS,2,0.6057,1145,10786,0.7676,0.5618,0.21,19500,0.5922,0.055,33900
Bethel College-North Newton,North Newton,KS,2,0.644,1028,11915,0.703,0.742,0.3859,15090,0.5278,0.05,36100
Central Christian College of Kansas,McPherson,KS,2,0.5045,970,7609,0.6261,0.7411,0.6166,8821,0.5,0.096,28000
Wichita State University,Wichita,KS,1,0.9576,1089,5790,0.7449,0.5022,0.3595,15250,0.4637,0.078,37800
Eastern Kentucky University,Richmond,KY,1,0.6002,1009,5757,0.7149,0.5983,0.4278,14921.5,0.3888,0.128,33000
Georgetown College,Georgetown,KY,2,0.8219,1085,12252,0.7553,0.7258,0.3432,21445,0.5656,0.043,36300
Kentucky Christian University,Grayson,KY,2,0.5136,976,8501,0.5327,0.8049,0.4948,9500,0.3865,0.119,28700
Centenary College of Louisiana,Shreveport,LA,2,0.6597,1131,11348,0.7595,0.5358,0.3539,17125,0.59,0.11,42100
Our Lady of the Lake College,Baton Rouge,LA,2,0.6615,1010,10679,0.5979,0.6578,0.3701,16743.5,0.3594,0.071,45300
Southeastern Louisiana University,Hammond,LA,1,0.448,1030,4439,0.6328,0.3998,0.3334,11670,0.3582,0.087,34200
Babson College,Wellesley,MA,2,0.2821,1258,33742,0.9489,0.3737,0.1613,27000,0.9073,0.01,76400
Brandeis University,Waltham,MA,2,0.3704,1347,19017,0.9303,0.5092,0.1781,26000,0.8959,0.024,49100
Bridgewater State University,Bridgewater,MA,1,0.786,991,7711,0.814,0.5298,0.2372,19250,0.5751,0.079,37400
Emmanuel College,Boston,MA,2,0.6049,1090,16682,0.8101,0.6753,0.2337,24250,0.5808,0.056,41700
Lesley University,Cambridge,MA,2,0.6749,1065,18063,0.7874,0.6356,0.2621,19500,0.4602,0.044,33500
Massachusetts College of Liberal Arts,North Adams,MA,1,0.672,1032,5558,0.7857,0.8456,0.4513,18499,0.5659,0.058,31400
Massachusetts Institute of Technology,Cambridge,MA,2,0.0815,1503,28012,0.9788,0.1992,0.1825,13000,0.9307,0.017,122900
Massachusetts Maritime Academy,Buzzards Bay,MA,1,0.7726,1051,8929,0.85,0.7462,0.186,23250,0.6667,0.063,69900
Newbury College,Brookline,MA,2,0.5953,850,16433,0.5597,0.773,0.5043,16000,0.309,0.139,32800
Nichols College,Dudley,MA,2,0.8047,940,14317,0.6939,0.876,0.3502,15782.5,0.4656,0.121,41700
University of Massachusetts-Amherst,Amherst,MA,1,0.6294,1209,11566,0.893,0.6043,0.2513,21500,0.7266,0.056,43400
University of Massachusetts-Lowell,Lowell,MA,1,0.6397,1132,11192,0.8389,0.597,0.2989,19500,0.5426,0.073,45800
