INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
Wellesley College,Wellesley,MA,2,0.2911,1399,18628,0.9658,0.2534,0.1922,8000,0.9068,0.012,52800
Williams College,Williamstown,MA,2,0.1702,1439,26201,0.9799,0.2478,0.1903,11248,0.9536,0.018,56100
Frostburg State University,Frostburg,MD,1,0.5945,963,4987,0.7675,0.6128,0.35,16750,0.4655,0.104,38600
Hood College,Frederick,MD,2,0.8102,1030,14552,0.777,0.7329,0.3424,22375,0.6644,0.049,40400
Johns Hopkins University,Baltimore,MD,2,0.1813,1418,22665,0.9704,0.3918,0.1307,17500,0.9254,0.017,69300
Loyola University Maryland,Baltimore,MD,2,0.58,1194,24840,0.8731,0.5407,0.1414,26000,0.8437,0.029,57600
Mount St Mary's University,Emmitsburg,MD,2,0.6741,1060,15815,0.7785,0.6374,0.2269,19500,0.6563,0.046,46100
St Mary's College of Maryland,St. Mary's City,MD,1,0.7204,1221,12390,0.8998,0.4135,0.152,19130,0.7931,0.014,41400
University of Maryland Eastern Shore,Princess Anne,MD,1,0.5502,871,4159,0.678,0.6948,0.5506,18071,0.3246,0.171,33500
Washington College,Chestertown,MD,2,0.6655,1168,20826,0.8086,0.6872,0.1488,25000,0.6821,0.035,41800
Bowdoin College,Brunswick,ME,2,0.1495,1423,30863,0.9654,0.1963,0.1376,18000,0.9326,0.006,55600
Saint Joseph's College of Maine,Standish,ME,2,0.7778,960,12041,0.7175,0.5758,0.2435,15683.5,0.5543,0.057,38900
University of Maine at Fort Kent,Fort Kent,ME,1,0.6293,908,6008,0.5918,0.4269,0.3216,11500,0.4273,0.146,31500
University of Southern Maine,Portland,ME,1,0.828,1003,9033,0.6695,0.5807,0.3636,17000,0.3356,0.068,36300
Adrian College,Adrian,MI,2,0.5628,1007,13466,0.5811,0.8015,0.4368,14250,0.5445,0.077,32700
Alma College,Alma,MI,2,0.6791,1100,13817,0.7885,0.9151,0.306,21500,0.6118,0.078,38700
Kalamazoo College,Kalamazoo,MI,2,0.6689,1240,17262,0.9192,0.5149,0.1856,24000,0.7741,0.013,40200
Lake Superior State University,Sault Ste Marie,MI,1,0.9183,1050,6843,0.7476,0.5991,0.4152,16563,0.42,0.124,34200
Madonna University,Livonia,MI,2,0.6125,1034,11624,0.8182,0.583,0.3568,21733,0.4294,0.073,39100
Spring Arbor University,Spring Arbor,MI,2,0.6505,1069,10534,0.7572,0.74,0.449,20729,0.5673,0.059,38200
Western Michigan University,Kalamazoo,MI,1,0.8285,1030,10693,0.7371,0.68,0.3969,20875,0.5491,0.077,39000
Carleton College,Northfield,MN,2,0.2095,1406,28644,0.9602,0.4749,0.1231,16644,0.9214,0.023,47500
College of Saint Benedict,Saint Joseph,MN,2,0.7554,1157,19467,0.8878,0.6478,0.2391,23250,0.816,0.011,43900
Crown College,Saint Bonifacius,MN,2,0.55,983,11569,0.6959,0.7022,0.4881,14625,0.5563,0.061,34200
Minnesota State University-Moorhead,Moorhead,MN,1,0.8911,1049,5136,0.6768,0.6301,0.3314,15772,0.4624,0.069,35000
St Olaf College,Northfield,MN,2,0.5919,1290,22480,0.9352,0.5255,0.1489,25000,0.8708,0.016,40100
University of Minnesota-Crookston,Crookston,MN,1,0.6916,1004,5639,0.691,0.3976,0.2388,14370,0.4369,0.081,38800
Cox College,Springfield,MO,2,0.8975,863,16550,0.8909,0.7912,0.4936,17235.5,0.9091,0.092,37900
Evangel University,Springfield,MO,2,0.6425,1046,10369,0.727,0.9271,0.4662,16000,0.5291,0.07,33000
Hannibal-LaGrange University,Hannibal,MO,2,0.6814,1029,8563,0.623,0.5661,0.3819,13750,0.6567,0.08,31900
Missouri Valley College,Marshall,MO,2,0.2218,920,6158,0.436,0.6479,0.4636,10500,0.2494,0.1,30900
Saint Louis Christian College,Florissant,MO,2,0.9886,970,4937,0.8125,0.7439,0.5772,18460,0.25,0.14,32900
Southeast Missouri State University,Cape Girardeau,MO,1,0.8546,1049,7348,0.7265,0.5127,0.3558,14000,0.4891,0.116,34400
Delta State University,Cleveland,MS,1,0.8941,950,5429,0.6614,0.5628,0.4927,12500,0.3543,0.121,33100
Millsaps College,Jackson,MS,2,0.4745,1159,11691,0.7524,0.5362,0.2183,21750,0.6318,0.056,36800
Mississippi University for Women,Columbus,MS,1,0.4349,995,4384,0.7912,0.6237,0.4934,14000,0.366,0.118,35700
Mississippi Valley State University,Itta Bena,MS,1,0.2272,825,3148,0.5296,0.7721,0.69,20969,0.2598,0.159,23700
Carroll College,Helena,MT,2,0.53,1112,13810,0.8146,0.5598,0.2167,21500,0.6738,0.017,37500
Barton College,Wilson,NC,2,0.4177,939,14382,0.6866,0.781,0.4955,21500,0.4839,0.092,34000
Chowan University,Murfreesboro,NC,2,0.6154,777,11818,0.4825,0.8486,0.6713,9500,0.244,0.207,29400
Davidson College,Davidson,NC,2,0.2561,1353,19936,0.9571,0.2134,0.1313,15750,0.9246,0.022,47700
Elon University,Elon,NC,2,0.5398,1200,24332,0.8989,0.3375,0.0911,20500,0.8165,0.024,43600
Greensboro College,Greensboro,NC,2,0.7831,891,12774,0.6044,0.7619,0.4037,20000,0.3059,0.108,33300
Livingstone College,Salisbury,NC,2,0.7122,723,11219,0.5296,0.9334,0.8344,16750,0.2036,0.255,22100
William Peace University,Raleigh,NC,2,0.9086,910,11537,0.6681,0.8851,0.7155,14000,0.3978,0.092,30500
Dickinson State University,Dickinson,ND,1,0.4868,965,5100,0.5545,0.4273,0.2341,13000,0.3915,0.071,38000
Valley City State University,Valley City,ND,1,0.829,967,5331,0.6444,0.4761,0.2644,12000,0.462,0.048,34300
Creighton University,Omaha,NE,2,0.7665,1214,23306,0.9088,0.7041,0.191,21500,0.7592,0.02,57400
Doane College-Crete,Crete,NE,2,0.7173,1077,12140,0.7834,0.8425,0.3386,18624,0.6062,0.027,39600
York College,York,NE,2,0.489,924,10118,0.6429,0.75,0.4936,16651,0.3933,0.096,31900
Dartmouth College,Hanover,NH,2,0.0978,1446,28107,0.979,0.2454,0.1364,10695.5,0.947,0.014,79400
Plymouth State University,Plymouth,NH,1,0.7748,965,11139,0.7164,0.752,0.2697,21000,0.5596,0.064,34300
University of New Hampshire-Main Campus,Durham,NH,1,0.7784,1100,12480,0.8641,0.676,0.2238,23128.5,0.7919,0.029,43100
Ramapo College of New Jersey,Mahwah,NJ,1,0.5526,1096,9261,0.8665,0.6063,0.25,19500,0.7283,0.053,44000
The College of New Jersey,Ewing,NJ,1,0.4311,1235,11663,0.9347,0.5193,0.18,21500,0.8443,0.017,50600
The Richard Stockton College of New Jersey,Galloway,NJ,1,0.6211,1068,6960,0.868,0.667,0.3564,18750,0.6549,0.044,42600
William Paterson University of New Jersey,Wayne,NJ,1,0.6811,1010,9726,0.748,0.6629,0.3959,18750,0.5012,0.094,39100
Canisius College,Buffalo,NY,2,0.7251,1101,15382,0.802,0.6311,0.3012,20000,0.6749,0.051,40500
Colgate University,Hamilton,NY,2,0.2638,1370,29302,0.9312,0.2698,0.1154,15062.5,0.9086,0.027,55300
College of Mount Saint Vincent,Bronx,NY,2,0.731,919,17983,0.6687,0.9077,0.5515,25000,0.5152,0.079,48700
CUNY Lehman College,Bronx,NY,1,0.2328,1020,4011,0.815,0.2383,0.5231,7500,0.3696,0.095,39800
CUNY York College,Jamaica,NY,1,0.351,905,3308,0.7415,0.1087,0.5399,7000,0.2635,0.101,37100
Davis College,Johnson City,NY,2,0.5859,928,9951,0.871,0.4429,0.46,12000,0.4211,0.097,26500
Farmingdale State College,Farmingdale,NY,1,0.5264,969,5323,0.8234,0.3193,0.2708,11000,0.4574,0.076,45000
Five Towns College,Dix Hills,NY,3,0.5509,894,12274,0.6667,0.7313,0.4221,17625,0.3968,0.15,30600
Hartwick College,Oneonta,NY,2,0.8424,1126,21251,0.7175,0.6887,0.3228,19500,0.5708,0.052,37400
LIU Brooklyn,Brooklyn,NY,2,0.869,921,23038,0.589,0.7197,0.6039,18325.5,0.3017,0.095,48300
LIU Post,Brookville,NY,2,0.8067,974,20243,0.717,0.3043,0.1752,18325.5,0.3902,0.095,48300
Manhattanville College,Purchase,NY,2,0.7674,1075,16566,0.7524,0.6377,0.348,18750,0.5832,0.049,42600
Marymount Manhattan College,New York,NY,2,0.7463,1053,21397,0.6594,0.6687,0.2602,15516,0.4426,0.086,36800
Molloy College,Rockville Centre,NY,2,0.7267,1054,20700,0.8909,0.7941,0.3316,25000,0.6622,0.039,56200
Mount Saint Mary College,Newburgh,NY,2,0.86,1006,16976,0.6955,0.7213,0.3342,20910,0.522,0.061,44100
New York Institute of Technology,Old Westbury,NY,2,0.7407,1039,28199,0.7208,0.5407,0.3724,17250,0.4705,0.071,52200
Rensselaer Polytechnic Institute,Troy,NY,2,0.412,1366,26147,0.9351,0.5866,0.166,27000,0.8494,0.019,67800
Roberts Wesleyan College,Rochester,NY,2,0.726,1046,15256,0.8571,0.8074,0.4377,20432,0.6057,0.049,40500
SUNY at Purchase College,Purchase,NY,1,0.3319,1082,6128,0.824,0.5996,0.3178,19750,0.5971,0.062,31900
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,1,0.7309,975,4023,0.7405,0.695,0.4835,11420.5,0.3388,0.108,31100
SUNY Institute of Technology at Utica-Rome,Utica,NY,1,0.4754,1053,5228,0.8384,0.5446,0.3845,13193.5,0.4778,0.063,46300
University of Rochester,Rochester,NY,2,0.3568,1353,21174,0.9605,0.5253,0.1844,24325.5,0.8518,0.025,54000
Vassar College,Poughkeepsie,NY,2,0.2411,1394,24134,0.9559,0.3716,0.2199,16590,0.9365,0.003,43300
Yeshiva University,New York,NY,2,0.8216,1217,22428,0.929,0.2656,0.181,15358.5,0.8519,0.033,53700
Bowling Green State University-Main Campus,Bowling Green,OH,1,0.7247,1009,8604,0.7012,0.6873,0.343,17500,0.541,0.117,35600
Central State University,Wilberforce,OH,1,0.3328,825,4338,0.5279,0.8294,0.7576,17411,0.2518,0.209,22600
Cincinnati Christian University,Cincinnati,OH,2,0.6398,989,9940,0.77,0.7386,0.4874,16865,0.3894,0.093,30700
Cleveland Institute of Art,Cleveland,OH,2,0.6825,1060,18008,0.7826,0.7824,0.4424,27000,0.5979,0.054,29800
Columbus College of Art and Design,Columbus,OH,2,0.8551,1035,30173,0.7938,0.7123,0.3727,26945,0.5908,0.102,29900
Kenyon College,Gambier,OH,2,0.3838,1328,25125,0.9574,0.5195,0.1026,16491,0.8908,0.015,37400
Malone University,Canton,OH,2,0.7179,1046,11480,0.7131,0.7211,0.3991,19549,0.5866,0.064,40700
Marietta College,Marietta,OH,2,0.6387,1105,16223,0.715,0.7122,0.3019,22353,0.5529,0.07,42800
Mount Carmel College of Nursing,Columbus,OH,2,0.5421,1030,12131,0.7683,0.6704,0.2562,18750,0.5595,0.029,53100
Ohio Christian University,Circleville,OH,2,0.9711,939,9752,0.6414,0.7138,0.5686,10035,0.3143,0.115,29100
Ohio Wesleyan University,Delaware,OH,2,0.7533,1123,14829,0.8007,0.5926,0.2177,22192,0.6319,0.051,37800
The College of Wooster,Wooster,OH,2,0.5633,1231,17867,0.8709,0.5144,0.1938,20490,0.7505,0.066,39600
Tiffin University,Tiffin,OH,2,0.3856,969,6222,0.6488,0.7577,0.6175,12033,0.461,0.189,36600
University of Akron Main Campus,Akron,OH,1,0.9649,1016,9302,0.6636,0.6238,0.4149,15000,0.4166,0.135,33400
University of Mount Union,Alliance,OH,2,0.712,1050,13695,0.7372,0.8161,0.3177,23557.5,0.6273,0.073,39600
University of Toledo,Toledo,OH,1,0.9073,1031,10874,0.6805,0.5921,0.3792,14500,0.4543,0.135,41100
Bacone College,Muskogee,OK,2,0.7182,836,3958,0.3313,0.9001,0.9451,9500,0.0536,0.241,30000
East Central University,Ada,OK,1,0.9814,969,4410,0.6252,0.4532,0.4848,12449,0.3384,0.169,34300
Northeastern State University,Tahlequah,OK,1,0.7337,970,4087,0.6807,0.5201,0.4926,12500,0.2969,0.164,33300
Oral Roberts University,Tulsa,OK,2,0.4354,1037,11083,0.8056,0.6733,0.4396,22500,0.5336,0.108,34300
Southwestern Christian University,Bethany,OK,2,0.884,963,14390,0.5158,0.7856,0.6522,10877,0.2973,0.132,24400
University of Central Oklahoma,Edmond,OK,1,0.8398,1030,5618,0.6511,0.4162,0.3496,12500,0.3562,0.105,36800
Concordia University-Portland,Portland,OR,2,0.5592,993,13342,0.7073,0.74,0.4485,17500,0.5549,0.042,41600
George Fox University,Newberg,OR,2,0.7528,1070,15258,0.8262,0.6722,0.364,18750,0.623,0.047,41400
Portland State University,Portland,OR,1,0.6117,1045,8128,0.7303,0.5297,0.4019,18832,0.417,0.06,40400
Southern Oregon University,Ashland,OR,1,0.7304,1020,5643,0.6693,0.4882,0.3855,18166,0.367,0.106,33700
Albright College,Reading,PA,2,0.6231,1033,14776,0.7146,0.8536,0.4075,24562.5,0.5371,0.067,42500
Baptist Bible College & Seminary of Pennsylvania,Clarks Summit,PA,2,0.8576,1016,10008,0.7532,0.5092,0.5277,13000,0.4969,0.036,27700
Bryn Mawr College,Bryn Mawr,PA,2,0.3992,1334,23516,0.9068,0.4667,0.1861,22650,0.8409,0.018,43000
Carnegie Mellon University,Pittsburgh,PA,2,0.2549,1432,27890,0.9422,0.3964,0.137,23000,0.8799,0.009,82200
Chestnut Hill College,Philadelphia,PA,2,0.5785,960,14874,0.7238,0.833,0.4915,23500,0.4188,0.076,38500
Clarion University of Pennsylvania,Clarion,PA,1,0.9348,915,7400,0.7572,0.7167,0.388,19000,0.5286,0.081,34000
Dickinson College,Carlisle,PA,2,0.4444,1285,26821,0.8985,0.4329,0.1215,19545,0.8562,0.017,49300
Drexel University,Philadelphia,PA,2,0.815,1197,23329,0.8644,0.5641,0.2021,17027.5,0.6951,0.035,59100
Gannon University,Erie,PA,2,0.8042,1050,14875,0.7879,0.6779,0.3185,22068,0.6508,0.075,45500
Kutztown University of Pennsylvania,Kutztown,PA,1,0.8179,959,7387,0.7291,0.7281,0.316,18750,0.5482,0.067,35700
La Roche College,Pittsburgh,PA,2,0.5565,931,15204,0.719,0.7718,0.3833,18750,0.4558,0.065,37300
La Salle University,Philadelphia,PA,2,0.8021,996,16930,0.825,0.6918,0.3598,20616.5,0.6443,0.038,48900
Mercyhurst University,Erie,PA,2,0.7536,1064,12726,0.8003,0.7072,0.3155,16000,0.6047,0.129,37800
Messiah College,Mechanicsburg,PA,2,0.659,1154,16857,0.8658,0.668,0.2044,23000,0.758,0.026,39100
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,1,0.8634,948,7148,0.762,0.7547,0.4557,21500,0.536,0.077,44900
Pennsylvania State University-Penn State Shenango,Sharon,PA,1,0.6943,889,8130,0.7727,0.7422,0.5467,21500,0.3134,0.077,44900
