INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
Albertus Magnus College,New Haven,CT,2,0.6821,830,12190,0.9256,0.7824,0.5811,26313,0.6063,0.07,51800
Central Connecticut State University,New Britain,CT,1,0.6413,1006,7671,0.7681,0.5918,0.3335,16852.5,0.5191,0.08,40900
Eastern Connecticut State University,Willimantic,CT,1,0.6453,1017,6540,0.781,0.6099,0.2644,17500,0.508,0.058,38600
Post University,Waterbury,CT,3,0.8302,865,14224,0.3946,0.5312,0.4313,8099,0.3583,0.136,39300
Quinnipiac University,Hamden,CT,2,0.6722,1102,27202,0.8522,0.6188,0.1429,21852,0.7627,0.014,54200
Southern Connecticut State University,New Haven,CT,1,0.7542,921,8775,0.7522,0.6169,0.3462,17404,0.4944,0.056,38800
Trinity College,Hartford,CT,2,0.3178,1240,29677,0.9086,0.1173,0.116,19275,0.8628,0.033,51500
University of Bridgeport,Bridgeport,CT,2,0.6385,923,16601,0.6361,0.7347,0.4859,17500,0.281,0.091,40100
University of Connecticut,Storrs,CT,1,0.5366,1233,11188,0.9392,0.5013,0.2088,18983,0.8323,0.038,51100
University of Connecticut-Avery Point,Groton,CT,1,0.594,1020,6277,0.7866,0.4771,0.2588,18983,0.4796,0.038,51100
University of Connecticut-Stamford,Stamford,CT,1,0.4107,1017,2653,0.8196,0.3653,0.3094,18983,0.6243,0.038,51100
University of Connecticut-Tri-Campus,Waterbury,CT,1,0.4207,1015,2077,0.8434,0.4705,0.3402,18983,0.5029,0.038,51100
University of Hartford,West Hartford,CT,2,0.6173,1053,15424,0.7254,0.6656,0.264,19944,0.5871,0.056,39800
University of New Haven,West Haven,CT,2,0.7441,1034,17898,0.7639,0.7151,0.2583,20500,0.5443,0.038,44700
University of Saint Joseph,West Hartford,CT,2,0.857,950,16296,0.7707,0.7711,0.3687,23627,0.5212,0.036,46100
Wesleyan University,Middletown,CT,2,0.2092,1387,27711,0.9508,0.3615,0.1837,17625,0.9154,0.015,41100
Yale University,New Haven,CT,2,0.0705,1497,14701,0.9867,0.0969,0.1273,12000,0.9779,0.009,93200
American International College,Springfield,MA,2,0.6779,885,10357,0.6482,0.8331,0.5027,20726,0.4487,0.06,37900
