INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
Alabama A & M University,Normal,AL,1,0.8989,823,9063,0.8204,0.7115,19500,0.2914,0.163,29600,0.6314
Alabama State University,Montgomery,AL,1,0.5125,830,7813,0.8735,0.8265,15854.5,0.2517,0.191,25200,0.6219
Auburn University,Auburn University,AL,1,0.8274,1215,13186,0.361,0.1687,18250,0.6792,0.061,44100,0.8946
Auburn University at Montgomery,Montgomery,AL,1,0.8371,970,7625,0.6476,0.4006,10750,0.2705,0.131,34500,0.6321
Birmingham Southern College,Birmingham,AL,2,0.6422,1177,11928,0.4939,0.2136,21500,0.6192,0.099,35600,0.8037
Huntingdon College,Montgomery,AL,2,0.6279,999,9074,0.7227,0.4302,16850,0.4319,0.105,36400,0.6196
Jacksonville State University,Jacksonville,AL,1,0.8326,1036,6192,0.6811,0.4613,16500,0.3083,0.113,32000,0.7112
Judson College,Marion,AL,2,0.7388,1023,7626,0.711,0.4788,14250,0.4051,0.117,25300,0.5974
Oakwood University,Huntsville,AL,2,0.3435,924,11909,0.7411,0.5066,22000,0.3632,0.107,29400,0.7876
Samford University,Birmingham,AL,2,0.7697,1153,17548,0.3653,0.1494,20000,0.692,0.013,46500,0.8673
Southeastern Bible College,Birmingham,AL,2,0.9615,970,10496,0.7877,0.6089,19414.5,0.1935,0.108,29400,0.6429
Spring Hill College,Mobile,AL,2,0.4627,1100,10653,0.6564,0.3328,20500,0.5632,0.081,36000,0.7559
Stillman College,Tuscaloosa,AL,2,0.43,882,10367,0.8145,0.7429,19000,0.2619,0.22,23800,0.6123
The University of Alabama,Tuscaloosa,AL,1,0.5655,1171,12198,0.4148,0.2107,17750,0.6665,0.081,41700,0.87
Troy University,Troy,AL,1,0.6821,990,8133,0.6414,0.4758,17750,0.3466,0.132,35900,0.7389
Tuskegee University,Tuskegee,AL,2,0.3511,937,14071,0.7374,0.6453,23687.5,0.4384,0.13,33900,0.7242
University of Alabama at Birmingham,Birmingham,AL,1,0.8673,1146,9033,0.5397,0.3505,16250,0.5377,0.08,40000,0.8016
University of Alabama in Huntsville,Huntsville,AL,1,0.8062,1180,8322,0.4728,0.3281,16500,0.4835,0.077,43400,0.8098
University of Mobile,Mobile,AL,2,0.7125,1058,10339,0.8009,0.5032,22500,0.4904,0.035,36300,0.7727
University of Montevallo,Montevallo,AL,1,0.8729,1070,7161,0.5872,0.4136,15872,0.4493,0.098,30700,0.7365
University of North Alabama,Florence,AL,1,0.8092,1028,6530,0.6883,0.4192,12542,0.3216,0.134,33700,0.7079
University of South Alabama,Mobile,AL,1,0.8604,1064,6914,0.5549,0.3743,15000,0.3342,0.071,37300,0.6787
University of West Alabama,Livingston,AL,1,0.9957,950,9161,0.7193,0.5604,13500,0.3161,0.096,33300,0.5781
Arkansas State University-Main Campus,Jonesboro,AR,1,0.7551,1088,3527,0.5289,0.4618,13300,0.3698,0.146,30600,0.7312
Arkansas Tech University,Russellville,AR,1,0.8503,1008,3247,0.4734,0.4559,10043,0.4025,0.174,32200,0.6937
Central Baptist College,Conway,AR,2,0.5407,974,8457,0.5745,0.4531,10828,0.3874,0.106,34600,0.6731
Harding University,Searcy,AR,2,0.7628,1139,11636,0.5573,0.2631,19801.5,0.6219,0.044,35900,0.8234
Henderson State University,Arkadelphia,AR,1,0.6221,1011,2994,0.5985,0.5296,10443,0.2854,0.154,32400,0.5716
Hendrix College,Conway,AR,2,0.8039,1267,12547,0.4487,0.1792,19500,0.6959,0.066,35000,0.878
John Brown University,Siloam Springs,AR,2,0.6982,1144,9545,0.5333,0.3184,17900,0.6537,0.048,46600,0.8239
Lyon College,Batesville,AR,2,0.5898,1142,9863,0.6867,0.4617,12000,0.4965,0.098,36200,0.6981
Ouachita Baptist University,Arkadelphia,AR,2,0.7011,1090,10088,0.5033,0.2702,15000,0.6022,0.066,34100,0.7631
Southern Arkansas University Main Campus,Magnolia,AR,1,0.6081,989,3465,0.5054,0.5152,10500,0.2973,0.181,32400,0.6433
University of Arkansas,Fayetteville,AR,1,0.5858,1156,6624,0.4084,0.2427,14990,0.601,0.067,40800,0.821
University of Arkansas at Little Rock,Little Rock,AR,1,0.5274,1077,6265,0.4818,0.4027,14250,0.2438,0.105,33400,0.6973
University of Arkansas at Pine Bluff,Pine Bluff,AR,1,0.277,842,2277,0.7276,0.6986,13698.5,0.2583,0.299,25800,0.5621
University of Arkansas-Fort Smith,Fort Smith,AR,1,0.5736,1028,2204,0.4018,0.5053,8240,0.2291,0.251,30200,0.6217
