DB,OBJ,IPR-querySize,medium,,,,,,,,,,,,,,
Parkinsons,motor_UPDRS,4,98,97,96,100,100,97,98,98,100,99,96,,,,
parkinsons,motor_UPDRS,2,97,97,96,95,98,97,98,97,94,98,97,,,,
parkinsons,total_UPDRS,4,99,98,97,100,100,99,100,99,99,100,99,,,,
parkinsons,total_UPDRS,2,98,94,99,98,97,98,97,98,99,95,100,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
DB,OBJ,min_support,mi_confidence,org_rule#,processed_rule#,lap,,,,,,,,,,,
Parkinsons,total_UPDRS,0.5,0.7,50,0,0,,,,,,,,,,,
Parkinsons,total_UPDRS,0.5,0.5,50,0,0,,,,,,,,,,,
Parkinsons,total_UPDRS,0.4,0.7,162,0,0,,,,,,,,,,,
Parkinsons,total_UPDRS,0.4,0.5,184,0,0,,,,,,,,,,,
Parkinsons,total_UPDRS,0.3,0.5,844,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Parkinsons,motor_UPDRS,0.5,0.7,2,0,0,,,,,,,,,,,
Parkinsons,motor_UPDRS,0.5,0.5,2,0,0,,,,,,,,,,,
Parkinsons,motor_UPDRS,0.4,0.7,47,0,0,,,,,,,,,,,
Parkinsons,motor_UPDRS,0.3,0.5,255,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
DB,OBJ,(all) lg_err,(all) dt_err,lg_err,dt_err,,lg1,dt1,lg2,dt2,lg3,dt3,lg4,dt4,lg5,dt5,
Parkinsons,motor_UPDRS,7.7285,4.9103,8.7172,5.2298,,12.3938,10.0724,8.8041,9.7887,12.9484,8.7739,12.4669,9.6934,8.5733,9.5456,
Parkinsons,motor (relative),22.73%,14.44%,25.64%,15.38%,,36.45%,29.62%,25.89%,28.79%,38.08%,25.81%,36.67%,28.51%,25.22%,28.08%,
,,,,,,,,,,,,,,,,,
Parkinsons,total_UPDRS,10.1006,5.167,10.6358,8.7919,,19.4711,16.888,11.8174,13.486,17.0152,15.0779,18.3642,12.4384,11.2346,11.3969,
Parkinsons,total (relative),21.49%,10.99%,22.63%,18.71%,,41.43%,35.93%,25.14%,28.69%,36.20%,32.08%,39.07%,26.46%,23.90%,24.25%,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LACEing BASE ON OBJ,TO PREDICT,lg_err,lg_err(relative),dt_err,dt_err(relative),,,,,,,,,,,,
motor_UPDRS,motor_UPDRS,8.3212,24.47%,5.3215,15.65%,,,,,,,,,,,,
NHR,motor_UPDRS,20.821,61.24%,13.3855,39.37%,,,,,,,,,,,,
DFA,motor_UPDRS,22.7388,66.88%,22.6453,66.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~,~~~~~~~~~
DB,OBJ,IPR-querySize,medium,,,,,,,,,,,,,,
School,mn_earn_wne_p7,4,100,100,100,100,100,100,100,100,100,100,100,,,,
School,mn_earn_wne_p7,2,95.5,95,97,98,94,96,93,93,94,97,99,,,,
School,RET_FT4,4,99,100,100,97,99,98,100,97,99,99,99,,,,
School,RET_FT4,2,96,96,95,97,96,96,97,96,95,97,96,,,,
