INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
Seattle University,Seattle,WA,2,0.7323,1175,24756,0.8602,0.5757,0.2109,24000,0.7663,0.038,7
The College of Saint Scholastica,Duluth,MN,2,0.7265,1085,13630,0.8365,0.689,0.3057,19310.5,0.6838,0.047,7
Westmont College,Santa Barbara,CA,2,0.7016,1193,21159,0.8462,0.5517,0.2092,19500,0.7577,0.051,5
Sonoma State University,Rohnert Park,CA,1,0.8186,1006,6880,0.8404,0.4143,0.2968,14592,0.5392,0.057,5
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,1,0.6958,1013,10524,0.7195,0.5366,0.3659,16500,0.4161,0.086,5
Taylor University,Upland,IN,2,0.876,1214,16421,0.8936,0.4475,0.1849,20500,0.7415,0.034,3
University of Wisconsin-Milwaukee,Milwaukee,WI,1,0.8608,1030,8308,0.7007,0.6362,0.3567,17459,0.4141,0.061,4
Coastal Carolina University,Conway,SC,1,0.7404,993,11355,0.6264,0.6858,0.377,14750,0.4584,0.106,3
University of New England,Biddeford,ME,2,0.8584,1057,19167,0.7422,0.6868,0.2279,20955,0.5966,0.045,7
Rogers State University,Claremore,OK,1,0.5445,950,3608,0.6044,0.4682,0.4721,8250,0.2131,0.156,2
Illinois College,Jacksonville,IL,2,0.6129,1024,10968,0.8134,0.768,0.332,20000,0.6357,0.071,3
Stevenson University,Stevenson,MD,2,0.5959,990,13905,0.7477,0.6099,0.303,18197.5,0.5613,0.084,7
Transylvania University,Lexington,KY,2,0.9615,1213,12776,0.8731,0.5829,0.2709,25000,0.7224,0.041,4
Buffalo State SUNY,Buffalo,NY,1,0.4853,975,3990,0.7532,0.6466,0.4594,15895.5,0.4892,0.088,3
Mary Baldwin College,Staunton,VA,2,0.8835,959,11530,0.686,0.5549,0.3803,18750,0.3908,0.039,4
The College of Wooster,Wooster,OH,2,0.5633,1231,17867,0.8709,0.5144,0.1938,20490,0.7505,0.066,5
Kennesaw State University,Kennesaw,GA,1,0.5654,1068,5776,0.7564,0.5646,0.4179,15000,0.4338,0.086,4
Morningside College,Sioux City,IA,2,0.5337,1050,10189,0.7326,0.7934,0.3527,19932,0.5799,0.037,4
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,1,0.8634,948,7148,0.762,0.7547,0.4557,21500,0.536,0.077,6
University of Central Oklahoma,Edmond,OK,1,0.8398,1030,5618,0.6511,0.4162,0.3496,12500,0.3562,0.105,4
Northern State University,Aberdeen,SD,1,0.9334,1030,4979,0.7108,0.4196,0.2255,12821,0.4853,0.112,2
Gettysburg College,Gettysburg,PA,2,0.4163,1282,27513,0.8817,0.5473,0.1404,19957,0.8357,0.026,7
Lafayette College,Easton,PA,2,0.3414,1283,26630,0.9126,0.4236,0.1065,21648,0.8832,0.016,8
University of Nebraska-Lincoln,Lincoln,NE,1,0.6404,1147,8653,0.8364,0.4022,0.1979,15799,0.6678,0.044,5
Babson College,Wellesley,MA,2,0.2821,1258,33742,0.9489,0.3737,0.1613,27000,0.9073,0.01,8
Carleton College,Northfield,MN,2,0.2095,1406,28644,0.9602,0.4749,0.1231,16644,0.9214,0.023,7
Boise State University,Boise,ID,1,0.7766,1050,6355,0.7129,0.4894,0.3715,16309,0.3801,0.114,3
Clark Atlanta University,Atlanta,GA,2,0.568,880,16788,0.6506,0.8796,0.7078,20000,0.3893,0.124,2
Virginia State University,Petersburg,VA,1,0.9459,811,5310,0.6495,0.8463,0.6829,17000,0.4034,0.137,2
George Mason University,Fairfax,VA,1,0.6203,1155,10801,0.8728,0.4474,0.2684,17250,0.667,0.018,7
University of North Carolina at Greensboro,Greensboro,NC,1,0.6002,1029,5580,0.7386,0.5872,0.4432,16000,0.5541,0.075,3
Skidmore College,Saratoga Springs,NY,2,0.3505,1247,30105,0.9304,0.3211,0.1462,19500,0.8592,0.033,5
Fayetteville State University,Fayetteville,NC,1,0.5496,851,3202,0.7133,0.7136,0.5873,17003.5,0.3215,0.132,1
University of Saint Mary,Leavenworth,KS,2,0.4707,988,12320,0.7241,0.644,0.3232,18385,0.5303,0.072,3
