INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
Trinity College,Hartford,CT,2,0.3178,1240,29677,0.1173,0.116,19275,0.8628,0.033,51500,8
Skidmore College,Saratoga Springs,NY,2,0.3505,1247,30105,0.3211,0.1462,19500,0.8592,0.033,41300,9
D'Youville College,Buffalo,NY,2,0.7908,1047,16950,0.7475,0.3558,20325,0.4112,0.082,48900,6
Mansfield University of Pennsylvania,Mansfield,PA,1,0.9229,964,6264,0.7758,0.4394,19000,0.4962,0.105,35400,4
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,1,0.811,850,7959,0.7716,0.5283,21500,0.4277,0.077,44900,3
Hamilton College,Clinton,NY,2,0.2719,1384,30431,0.3445,0.1375,15500,0.9295,0.018,55400,9
Pennsylvania State University-Penn State Berks,Reading,PA,1,0.8307,988,6362,0.6832,0.3405,21500,0.5652,0.077,44900,5
Becker College,Worcester,MA,2,0.6255,1006,17590,0.8154,0.3888,15750,0.3069,0.149,39500,1
Rutgers University-Camden,Camden,NJ,1,0.5859,1035,11973,0.6878,0.4329,19500,0.5582,0.052,52800,5
Norwich University,Northfield,VT,2,0.6349,1065,13149,0.6959,0.2628,23000,0.5672,0.052,42000,5
SUNY College at Old Westbury,Old Westbury,NY,1,0.5804,998,4018,0.4717,0.4714,13821,0.3649,0.114,39400,5
MCPHS University,Boston,MA,2,0.8921,1094,29378,0.783,0.3009,25000,0.7053,0.018,103700,8
Pine Manor College,Chestnut Hill,MA,2,0.6411,760,11893,0.7098,0.6562,25000,0.3353,0.283,30200,1
Curry College,Milton,MA,2,0.6692,931,20075,0.6274,0.2555,18625,0.4502,0.086,43400,3
Molloy College,Rockville Centre,NY,2,0.7267,1054,20700,0.7941,0.3316,25000,0.6622,0.039,56200,8
College of Staten Island CUNY,Staten Island,NY,1,0.9975,1000,3881,0.188,0.4463,9000,0.2912,0.115,37700,7
Framingham State University,Framingham,MA,1,0.5167,1040,5825,0.6681,0.2829,15522.5,0.5055,0.06,39900,4
Westfield State University,Westfield,MA,1,0.7487,995,7287,0.6121,0.2609,16250,0.585,0.046,39100,6
Dominican College of Blauvelt,Orangeburg,NY,2,0.7189,899,17452,0.879,0.4339,19000,0.3565,0.071,44300,2
