INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
Dartmouth College,Hanover,NH,2,0.0978,1446,28107,0.2454,0.1364,10695.5,0.947,0.014,79400,10
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,1,0.7844,946,9230,0.65,0.3029,16750,0.5604,0.051,38400,3
Mount Ida College,Newton,MA,2,0.6065,880,16453,0.7741,0.3925,19000,0.3952,0.079,34700,1
Pennsylvania State University-Penn State New Kensington,New Kensington,PA,1,0.7379,991,8237,0.6545,0.3371,21500,0.5369,0.077,44900,3
Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,1,0.8408,1052,7616,0.7036,0.3156,21500,0.6995,0.077,44900,7
Pennsylvania State University-Penn State Altoona,Altoona,PA,1,0.8519,990,6419,0.715,0.3329,21500,0.688,0.077,44900,7
The College of New Rochelle,New Rochelle,NY,2,0.5695,986,12484,0.6525,0.7552,16000,0.2634,0.169,36300,1
Edinboro University of Pennsylvania,Edinboro,PA,1,0.8735,930,5789,0.7777,0.4558,18750,0.4175,0.105,31900,4
University of New England,Biddeford,ME,2,0.8584,1057,19167,0.6868,0.2279,20955,0.5966,0.045,47900,4
Concordia College-New York,Bronxville,NY,2,0.6701,912,16503,0.6855,0.5181,20437.5,0.3937,0.084,40300,2
Centenary College,Hackettstown,NJ,2,0.9094,956,15624,0.5817,0.2744,19837.5,0.5673,0.069,42900,3
Albany College of Pharmacy and Health Sciences,Albany,NY,2,0.634,1195,24032,0.814,0.2215,24930.5,0.7235,0.01,110100,6
Susquehanna University,Selinsgrove,PA,2,0.7233,1129,18087,0.6926,0.2248,21000,0.747,0.037,47000,7
Bridgewater State University,Bridgewater,MA,1,0.786,991,7711,0.5298,0.2372,19250,0.5751,0.079,37400,7
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,1,0.8634,948,7148,0.7547,0.4557,21500,0.536,0.077,44900,5
Villanova University,Villanova,PA,2,0.489,1316,26055,0.4356,0.1156,25000,0.9008,0.02,66300,9
University of Maine at Fort Kent,Fort Kent,ME,1,0.6293,908,6008,0.4269,0.3216,11500,0.4273,0.146,31500,1
Pennsylvania College of Health Sciences,Lancaster,PA,2,0.5201,955,13823,0.6735,0.3593,15250,0.6338,0.026,49800,0
Farmingdale State College,Farmingdale,NY,1,0.5264,969,5323,0.3193,0.2708,11000,0.4574,0.076,45000,7
College of Saint Elizabeth,Morristown,NJ,2,0.4836,855,18246,0.4866,0.3772,17334.5,0.5563,0.083,43800,2
University of Massachusetts-Dartmouth,North Dartmouth,MA,1,0.7213,1061,9535,0.717,0.3799,19500,0.4903,0.097,40500,5
Bryant University,Smithfield,RI,2,0.7655,1137,22197,0.6148,0.1676,26706,0.8198,0.025,53800,8
Lancaster Bible College,Lancaster,PA,2,0.5813,982,12076,0.667,0.4096,12000,0.6952,0.043,28800,3
Mount Aloysius College,Cresson,PA,2,0.6876,915,14007,0.7339,0.4285,15111.5,0.37,0.072,37300,1
University of Pittsburgh-Greensburg,Greensburg,PA,1,0.9311,1017,11828,0.7191,0.52,22000,0.5329,0.042,47600,7
CUNY Medgar Evers College,Brooklyn,NY,1,0.9141,838,2396,0.1891,0.6159,5250,0.1017,0.163,33900,1
Medaille College,Buffalo,NY,2,0.5429,865,14138,0.8454,0.493,17363,0.4914,0.091,37800,1
La Roche College,Pittsburgh,PA,2,0.5565,931,15204,0.7718,0.3833,18750,0.4558,0.065,37300,4
Suffolk University,Boston,MA,2,0.825,1014,24014,0.5983,0.292,21032,0.5489,0.071,47700,5
Alvernia University,Reading,PA,2,0.7762,976,16643,0.6131,0.346,22500,0.5132,0.069,40400,3
Wells College,Aurora,NY,2,0.5967,1075,13966,0.8233,0.485,17875,0.5805,0.05,30300,4
Pennsylvania State University-Penn State Brandywine,Media,PA,1,0.7905,968,6072,0.6186,0.3403,21500,0.441,0.077,44900,4
Daniel Webster College,Nashua,NH,3,0.5992,962,13033,0.8729,0.3661,12500,0.5356,0.076,47800,2
University of Southern Maine,Portland,ME,1,0.828,1003,9033,0.5807,0.3636,17000,0.3356,0.068,36300,2
University of Maine at Machias,Machias,ME,1,0.854,937,4444,0.4357,0.4086,11780,0.3091,0.198,24900,2
CUNY City College,New York,NY,1,0.341,1110,4376,0.1914,0.5073,10000,0.4201,0.09,40300,8
University of Massachusetts-Boston,Boston,MA,1,0.7141,1015,12102,0.5642,0.3831,16362,0.4358,0.086,43800,5
Pace University-New York,New York,NY,2,0.7683,1043,20091,0.5818,0.3557,19500,0.5146,0.059,51900,5
Haverford College,Haverford,PA,2,0.2349,1400,25687,0.2033,0.1502,13399,0.9333,0.033,56000,10
Widener University-Main Campus,Chester,PA,2,0.6726,1025,21499,0.7225,0.2699,20850,0.5601,0.058,51300,5
Philadelphia University,Philadelphia,PA,2,0.6408,1062,19202,0.7216,0.3026,24750,0.5827,0.038,42000,5
The New School,New York,NY,2,0.6659,1131,25271,0.4127,0.2361,20500,0.6336,0.053,43300,7
Dean College,Franklin,MA,2,0.6835,845,17320,0.649,0.292,9500,0.4315,0.193,30400,1
Seton Hall University,South Orange,NJ,2,0.7916,1121,22466,0.5785,0.2905,19500,0.6409,0.028,51900,7
Pennsylvania State University-Penn State York,York,PA,1,0.845,984,7920,0.5671,0.3143,21500,0.4954,0.077,44900,5
Saint John Fisher College,Rochester,NY,2,0.6277,1095,16702,0.7973,0.3206,21500,0.7253,0.044,41400,7
Massachusetts Maritime Academy,Buzzards Bay,MA,1,0.7726,1051,8929,0.7462,0.186,23250,0.6667,0.063,69900,7
SUNY at Purchase College,Purchase,NY,1,0.3319,1082,6128,0.5996,0.3178,19750,0.5971,0.062,31900,7
Rosemont College,Rosemont,PA,2,0.5838,927,14759,0.8416,0.5382,25000,0.4559,0.072,42900,3
Saint Peter's University,Jersey City,NJ,2,0.5408,913,17043,0.6353,0.5196,17500,0.5332,0.067,39100,4
Keystone College,La Plume,PA,2,0.7205,901,10472,0.6641,0.4479,16836,0.4221,0.096,28800,3
Vermont Technical College,Randolph Center,VT,1,0.8257,933,12309,0.6591,0.3848,13000,0.4839,0.068,39700,3
New Jersey City University,Jersey City,NJ,1,0.4129,917,7917,0.564,0.561,13250.5,0.3174,0.065,39600,3
Stonehill College,Easton,MA,2,0.7091,1133,21131,0.6856,0.1441,26000,0.8483,0.004,52600,8
Union College,Schenectady,NY,2,0.3728,1313,27943,0.5721,0.1557,24334,0.8804,0.014,54600,9
Adelphi University,Garden City,NY,2,0.6814,1098,20803,0.6059,0.2951,21325,0.6251,0.037,50000,6
Ursinus College,Collegeville,PA,2,0.6633,1182,20898,0.6988,0.2155,27000,0.7906,0.029,45200,8
Columbia University in the City of New York,New York,NY,2,0.0742,1471,31924,0.2659,0.2154,17125,0.9329,0.02,89100,10
Gettysburg College,Gettysburg,PA,2,0.4163,1282,27513,0.5473,0.1404,19957,0.8357,0.026,47000,8
CUNY Brooklyn College,Brooklyn,NY,1,0.3198,1100,4480,0.1893,0.4816,9500,0.51,0.083,40400,8
Maria College of Albany,Albany,NY,2,0.1603,874,12633,0.753,0.4053,14652.5,0.2245,0.108,40600,5
Brown University,Providence,RI,2,0.0918,1425,29320,0.2317,0.1444,15164,0.9452,0.013,65600,10
Pennsylvania State University-Penn State Beaver,Monaca,PA,1,0.8731,955,7505,0.6653,0.365,21500,0.4333,0.077,44900,2
Clarkson University,Potsdam,NY,2,0.6403,1187,13925,0.7773,0.2813,24187,0.7287,0.024,57300,8
Albertus Magnus College,New Haven,CT,2,0.6821,830,12190,0.7824,0.5811,26313,0.6063,0.07,51800,9
SUNY College at Brockport,Brockport,NY,1,0.4774,1069,4792,0.7085,0.4081,17750,0.6676,0.056,38100,6
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,2,0.7341,985,17362,0.3668,0.2527,18750,0.465,0.043,43600,4
University of Connecticut-Tri-Campus,Waterbury,CT,1,0.4207,1015,2077,0.4705,0.3402,18983,0.5029,0.038,51100,7
College of Our Lady of the Elms,Chicopee,MA,2,0.7492,928,11375,0.7287,0.3967,22160.5,0.6788,0.082,42500,6
The Richard Stockton College of New Jersey,Galloway,NJ,1,0.6211,1068,6960,0.667,0.3564,18750,0.6549,0.044,42600,8
Vassar College,Poughkeepsie,NY,2,0.2411,1394,24134,0.3716,0.2199,16590,0.9365,0.003,43300,10
Roberts Wesleyan College,Rochester,NY,2,0.726,1046,15256,0.8074,0.4377,20432,0.6057,0.049,40500,7
Felician College,Lodi,NJ,2,0.8819,877,20665,0.6941,0.4699,20834,0.4592,0.058,42300,5
Immaculata University,Immaculata,PA,2,0.7964,943,11628,0.5862,0.2234,22000,0.4828,0.061,50500,7
CUNY Queens College,Flushing,NY,1,0.3702,1100,4899,0.1319,0.3807,9054,0.5635,0.065,42000,7
University of Bridgeport,Bridgeport,CT,2,0.6385,923,16601,0.7347,0.4859,17500,0.281,0.091,40100,1
Swarthmore College,Swarthmore,PA,2,0.1432,1442,25716,0.2616,0.1411,17718.5,0.9342,0,50700,10
Moore College of Art and Design,Philadelphia,PA,2,0.5632,982,23067,0.8133,0.4336,26991,0.5758,0.09,32100,6
Cooper Union for the Advancement of Science and Art,New York,NY,2,0.0774,1358,3605,0.1918,0.1766,17500,0.8265,0.049,49800,10
West Chester University of Pennsylvania,West Chester,PA,1,0.5156,1105,8550,0.6315,0.2406,19695.5,0.6864,0.052,41200,8
New Jersey Institute of Technology,Newark,NJ,1,0.6547,1142,9933,0.4698,0.3898,16145,0.5767,0.049,55600,8
Cairn University-Langhorne,Langhorne,PA,2,0.5131,1008,10853,0.8416,0.444,21540,0.6988,0.051,33500,5
Lycoming College,Williamsport,PA,2,0.7162,1047,14021,0.7829,0.3264,27000,0.6391,0.066,39100,6
Pennsylvania State University-Penn State Wilkes-Barre,Lehman,PA,1,0.8199,995,7030,0.6823,0.3355,21500,0.5029,0.077,44900,6
Saint Michael's College,Colchester,VT,2,0.7511,1173,22999,0.7463,0.1725,25000,0.7481,0.028,41600,8
Buffalo State SUNY,Buffalo,NY,1,0.4853,975,3990,0.6466,0.4594,15895.5,0.4892,0.088,34500,5
Lehigh University,Bethlehem,PA,2,0.3084,1322,25245,0.4495,0.1472,22500,0.8584,0.009,68900,9
State University of New York at New Paltz,New Paltz,NY,1,0.4359,1129,5708,0.5366,0.2798,17500,0.7049,0.046,39500,8
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,1,0.7994,1027,8498,0.6392,0.3456,21500,0.6086,0.077,44900,7
Georgian Court University,Lakewood,NJ,2,0.779,900,18180,0.6788,0.4274,19500,0.5133,0.026,38300,3
Saint Francis University,Loretto,PA,2,0.7606,1026,13397,0.6303,0.224,26123,0.7146,0.048,46100,7
The College of New Jersey,Ewing,NJ,1,0.4311,1235,11663,0.5193,0.18,21500,0.8443,0.017,50600,9
Manhattanville College,Purchase,NY,2,0.7674,1075,16566,0.6377,0.348,18750,0.5832,0.049,42600,5
Bucknell University,Lewisburg,PA,2,0.2951,1306,30266,0.4098,0.1061,25000,0.9076,0.013,59300,9
Pennsylvania State University-Main Campus,University Park,PA,1,0.542,1199,24891,0.522,0.1768,21500,0.8484,0.077,44900,9
Simmons College,Boston,MA,2,0.4897,1149,18588,0.7305,0.2573,25000,0.7122,0.021,46600,8
Nyack College,Nyack,NY,2,0.9671,915,13307,0.8471,0.5544,15750,0.4276,0.091,42700,3
Bay Path College,Longmeadow,MA,2,0.576,964,14058,0.8832,0.5289,18065,0.555,0.075,38900,4
Albright College,Reading,PA,2,0.6231,1033,14776,0.8536,0.4075,24562.5,0.5371,0.067,42500,3
Harvard University,Cambridge,MA,2,0.0584,1501,27867,0.029,0.1016,7500,0.9747,0.019,113600,10
SUNY College of Environmental Science and Forestry,Syracuse,NY,1,0.5052,1155,4726,0.5757,0.2676,17124,0.716,0.037,38500,7
Thomas College,Waterville,ME,2,0.7244,895,10550,0.5895,0.3331,18059.5,0.4298,0.093,33700,1
Wilkes University,Wilkes-Barre,PA,2,0.7598,1060,14551,0.7381,0.3102,20255.5,0.579,0.051,51000,6
SUNY College of Technology at Alfred,Alfred,NY,1,0.5494,1090,3258,0.7387,0.5088,12000,0.4693,0.106,36200,7
Brandeis University,Waltham,MA,2,0.3704,1347,19017,0.5092,0.1781,26000,0.8959,0.024,49100,9
St Bonaventure University,Saint Bonaventure,NY,2,0.7999,1075,14460,0.7044,0.2888,21501,0.666,0.056,39800,6
Canisius College,Buffalo,NY,2,0.7251,1101,15382,0.6311,0.3012,20000,0.6749,0.051,40500,6
SUNY at Binghamton,Vestal,NY,1,0.4287,1297,6701,0.4836,0.269,17750,0.8077,0.035,51600,8
La Salle University,Philadelphia,PA,2,0.8021,996,16930,0.6918,0.3598,20616.5,0.6443,0.038,48900,7
Lebanon Valley College,Annville,PA,2,0.6686,1112,17637,0.7317,0.2282,24500,0.7311,0.014,40300,7
Husson University,Bangor,ME,2,0.7989,962,14005,0.5926,0.2796,21329,0.4654,0.097,36100,3
University of Massachusetts-Amherst,Amherst,MA,1,0.6294,1209,11566,0.6043,0.2513,21500,0.7266,0.056,43400,8
Rochester Institute of Technology,Rochester,NY,2,0.6016,1232,19189,0.6848,0.3128,24500,0.6388,0.052,52900,8
Millersville University of Pennsylvania,Millersville,PA,1,0.7186,1014,7466,0.6789,0.3148,18500,0.6078,0.055,37500,6
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,1,0.8271,960,7317,0.6989,0.3888,21500,0.5199,0.077,44900,4
SUNY College at Oswego,Oswego,NY,1,0.4863,1110,4850,0.704,0.3913,18750,0.5785,0.07,37300,5
University of New Hampshire-Main Campus,Durham,NH,1,0.7784,1100,12480,0.676,0.2238,23128.5,0.7919,0.029,43100,8
Marywood University,Scranton,PA,2,0.713,1050,16335,0.7829,0.3528,23250,0.6511,0.071,35300,6
Temple University,Philadelphia,PA,1,0.6387,1121,18854,0.6583,0.3352,21700,0.6632,0.056,46400,8
Barnard College,New York,NY,2,0.2053,1340,30150,0.3183,0.1841,16000,0.8966,0.024,51200,10
Neumann University,Aston,PA,2,0.5531,861,18159,0.8048,0.3874,20000,0.5019,0.093,38300,2
St Thomas Aquinas College,Sparkill,NY,2,0.8224,931,17913,0.4761,0.2355,15000,0.5278,0.061,38000,4
Le Moyne College,Syracuse,NY,2,0.619,1080,15271,0.697,0.3234,21216.5,0.7383,0.051,46100,8
University of Pennsylvania,Philadelphia,PA,2,0.1224,1442,36792,0.2328,0.1417,19500,0.9569,0.013,102200,10
Providence College,Providence,RI,2,0.5979,1158,23856,0.5326,0.1341,27000,0.8504,0.023,53000,8
Wilson College,Chambersburg,PA,2,0.5267,993,11650,0.7069,0.3768,23111.5,0.5732,0.08,31400,1
University of Saint Joseph,West Hartford,CT,2,0.857,950,16296,0.7711,0.3687,23627,0.5212,0.036,46100,5
Gwynedd Mercy University,Gwynedd Valley,PA,2,0.6591,944,15429,0.7278,0.3351,20250,0.6598,0.077,50700,7
Bloomfield College,Bloomfield,NJ,2,0.5464,835,18053,0.8211,0.6417,18500,0.3642,0.1,35400,1
Messiah College,Mechanicsburg,PA,2,0.659,1154,16857,0.668,0.2044,23000,0.758,0.026,39100,8
Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,1,0.7983,957,8544,0.7543,0.5024,21500,0.4556,0.077,44900,3
Eastern Connecticut State University,Willimantic,CT,1,0.6453,1017,6540,0.6099,0.2644,17500,0.508,0.058,38600,6
Fairleigh Dickinson University-College at Florham,Madison,NJ,2,0.7774,1020,27238,0.6927,0.3273,18750,0.5423,0.043,43600,4
Maine Maritime Academy,Castine,ME,1,0.6536,1026,15845,0.7978,0.288,26596.5,0.752,0.051,79400,5
SUNY College at Plattsburgh,Plattsburgh,NY,1,0.4564,1026,5027,0.6593,0.3528,18750,0.6033,0.07,37200,7
Saint Anselm College,Manchester,NH,2,0.7365,1145,20151,0.7405,0.1673,27000,0.7447,0.019,48900,7
Massachusetts College of Liberal Arts,North Adams,MA,1,0.672,1032,5558,0.8456,0.4513,18499,0.5659,0.058,31400,6
New York Institute of Technology,Old Westbury,NY,2,0.7407,1039,28199,0.5407,0.3724,17250,0.4705,0.071,52200,4
Houghton College,Houghton,NY,2,0.9108,1113,14223,0.6783,0.3758,19000,0.7386,0.024,38900,8
Ramapo College of New Jersey,Mahwah,NJ,1,0.5526,1096,9261,0.6063,0.25,19500,0.7283,0.053,44000,8
Rensselaer Polytechnic Institute,Troy,NY,2,0.412,1366,26147,0.5866,0.166,27000,0.8494,0.019,67800,9
University of Rochester,Rochester,NY,2,0.3568,1353,21174,0.5253,0.1844,24325.5,0.8518,0.025,54000,10
Bentley University,Waltham,MA,2,0.4379,1234,24563,0.5074,0.1554,26000,0.8727,0.01,65300,9
Seton Hill University,Greensburg,PA,2,0.652,1032,14168,0.7153,0.3169,22131,0.6113,0.066,37100,6
Wagner College,Staten Island,NY,2,0.6988,1154,22283,0.6318,0.1904,22875,0.6136,0.037,49200,8
Point Park University,Pittsburgh,PA,2,0.7393,997,17100,0.7719,0.4194,22250,0.4978,0.112,35800,5
University of Pittsburgh-Johnstown,Johnstown,PA,1,0.9038,1021,12242,0.7285,0.3056,22000,0.5501,0.042,47600,5
CUNY Hunter College,New York,NY,1,0.2972,1160,5913,0.1606,0.4097,9500,0.5038,0.053,40700,8
Fitchburg State University,Fitchburg,MA,1,0.7211,987,6004,0.6887,0.3416,15529.5,0.5029,0.078,37300,5
Lock Haven University,Lock Haven,PA,1,0.8777,937,6779,0.7814,0.3919,18162,0.4733,0.08,36700,3
St Francis College,Brooklyn Heights,NY,2,0.6433,940,12946,0.5035,0.4315,15347.5,0.5209,0.112,41400,6
Rhode Island School of Design,Providence,RI,2,0.2731,1239,33690,0.3907,0.1537,25000,0.8732,0.033,38100,9
Chestnut Hill College,Philadelphia,PA,2,0.5785,960,14874,0.833,0.4915,23500,0.4188,0.076,38500,4
Western New England University,Springfield,MA,2,0.8151,1077,19352,0.748,0.2502,20159,0.5961,0.056,50200,5
Duquesne University,Pittsburgh,PA,2,0.7409,1122,19958,0.6763,0.2023,25500,0.7688,0.028,57400,8
College of Mount Saint Vincent,Bronx,NY,2,0.731,919,17983,0.9077,0.5515,25000,0.5152,0.079,48700,2
CUNY New York City College of Technology,Brooklyn,NY,1,0.768,937,3180,0.131,0.5842,6713.5,0.1437,0.141,35700,5
LIU Post,Brookville,NY,2,0.8067,974,20243,0.3043,0.1752,18325.5,0.3902,0.095,48300,3
Springfield College,Springfield,MA,2,0.6992,1029,15822,0.8985,0.2192,20500,0.6856,0.056,42300,7
Lasell College,Newton,MA,2,0.7614,974,17406,0.8689,0.319,23000,0.5294,0.068,35100,4
Rutgers University-New Brunswick,New Brunswick,NJ,1,0.5951,1210,11793,0.5591,0.3105,19500,0.7969,0.052,52800,9
Five Towns College,Dix Hills,NY,3,0.5509,894,12274,0.7313,0.4221,17625,0.3968,0.15,30600,2
Southern New Hampshire University,Manchester,NH,2,0.7866,965,10913,0.6931,0.4058,7688,0.542,0.068,39600,2
Marymount Manhattan College,New York,NY,2,0.7463,1053,21397,0.6687,0.2602,15516,0.4426,0.086,36800,2
SUNY Institute of Technology at Utica-Rome,Utica,NY,1,0.4754,1053,5228,0.5446,0.3845,13193.5,0.4778,0.063,46300,7
Colby College,Waterville,ME,2,0.2604,1343,30380,0.205,0.1079,18500,0.9251,0.025,49500,9
Massachusetts Institute of Technology,Cambridge,MA,2,0.0815,1503,28012,0.1992,0.1825,13000,0.9307,0.017,122900,10
Babson College,Wellesley,MA,2,0.2821,1258,33742,0.3737,0.1613,27000,0.9073,0.01,76400,10
Champlain College,Burlington,VT,2,0.7079,1122,22040,0.6359,0.2488,21500,0.5763,0.058,38200,6
Kean University,Union,NJ,1,0.8037,905,8190,0.6133,0.4094,18750,0.4623,0.104,40500,4
Gordon College,Wenham,MA,2,0.4133,1156,17958,0.7229,0.2213,23000,0.707,0.01,35500,7
University of Pittsburgh-Bradford,Bradford,PA,1,0.8532,973,11148,0.7833,0.4526,22000,0.5189,0.042,47600,3
Massachusetts College of Art and Design,Boston,MA,1,0.6982,1081,11458,0.5535,0.2565,22500,0.7382,0.093,32400,7
University at Buffalo,Buffalo,NY,1,0.5652,1158,7732,0.4677,0.2835,15200,0.72,0.045,47000,8
CUNY York College,Jamaica,NY,1,0.351,905,3308,0.1087,0.5399,7000,0.2635,0.101,37100,4
Caldwell College,Caldwell,NJ,2,0.6408,949,16805,0.836,0.4293,19125,0.5345,0.068,39600,4
Post University,Waterbury,CT,3,0.8302,865,14224,0.5312,0.4313,8099,0.3583,0.136,39300,1
Westminster College,New Wilmington,PA,2,0.7336,1040,12438,0.7551,0.3058,26000,0.7653,0.026,37500,8
Vaughn College of Aeronautics and Technology,Flushing,NY,2,0.7706,989,14328,0.6926,0.6509,14250,0.3646,0.141,43800,5
Plymouth State University,Plymouth,NH,1,0.7748,965,11139,0.752,0.2697,21000,0.5596,0.064,34300,3
York College Pennsylvania,York,PA,2,0.7351,1045,13678,0.6847,0.2422,20500,0.5777,0.049,43400,5
Rhode Island College,Providence,RI,1,0.6915,930,6412,0.5734,0.3896,15462,0.4292,0.063,35300,5
Wesleyan University,Middletown,CT,2,0.2092,1387,27711,0.3615,0.1837,17625,0.9154,0.015,41100,10
William Paterson University of New Jersey,Wayne,NJ,1,0.6811,1010,9726,0.6629,0.3959,18750,0.5012,0.094,39100,5
Yeshiva University,New York,NY,2,0.8216,1217,22428,0.2656,0.181,15358.5,0.8519,0.033,53700,9
Lesley University,Cambridge,MA,2,0.6749,1065,18063,0.6356,0.2621,19500,0.4602,0.044,33500,6
Pennsylvania State University-Penn State Shenango,Sharon,PA,1,0.6943,889,8130,0.7422,0.5467,21500,0.3134,0.077,44900,5
University of Connecticut-Avery Point,Groton,CT,1,0.594,1020,6277,0.4771,0.2588,18983,0.4796,0.038,51100,6
Indiana University of Pennsylvania-Main Campus,Indiana,PA,1,0.9049,973,7816,0.7292,0.362,20500,0.5119,0.088,35100,4
Baptist Bible College & Seminary of Pennsylvania,Clarks Summit,PA,2,0.8576,1016,10008,0.5092,0.5277,13000,0.4969,0.036,27700,5
Franklin Pierce University,Rindge,NH,2,0.8472,975,12942,0.669,0.2441,15289,0.4409,0.068,35000,2
Tufts University,Medford,MA,2,0.1884,1428,28845,0.301,0.1132,17300,0.9219,0.023,63500,10
Robert Morris University,Moon Township,PA,2,0.8051,1041,16370,0.7034,0.3466,21500,0.5587,0.049,40000,6
Lyndon State College,Lyndonville,VT,1,0.9934,930,11502,0.7837,0.4411,14200,0.3506,0.125,30000,1
Salem State University,Salem,MA,1,0.6929,986,6709,0.5898,0.3339,19415,0.4558,0.086,38000,5
SUNY College at Cortland,Cortland,NY,1,0.4683,1058,5412,0.6861,0.2687,18750,0.6951,0.036,39500,7
Mercyhurst University,Erie,PA,2,0.7536,1064,12726,0.7072,0.3155,16000,0.6047,0.129,37800,6
Cabrini College,Radnor,PA,2,0.7428,896,13361,0.625,0.308,14875,0.4561,0.055,39600,3
Saint Joseph's University,Philadelphia,PA,2,0.7873,1110,23462,0.5054,0.1357,20500,0.7851,0.044,51100,8
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,1,0.5613,1258,16043,0.5513,0.1706,22000,0.8044,0.042,47600,9
Carnegie Mellon University,Pittsburgh,PA,2,0.2549,1432,27890,0.3964,0.137,23000,0.8799,0.009,82200,9
Hartwick College,Oneonta,NY,2,0.8424,1126,21251,0.6887,0.3228,19500,0.5708,0.052,37400,3
Holy Family University,Philadelphia,PA,2,0.7585,933,16634,0.7181,0.3558,22498.5,0.5461,0.044,46500,5
Drexel University,Philadelphia,PA,2,0.815,1197,23329,0.5641,0.2021,17027.5,0.6951,0.035,59100,8
Keene State College,Keene,NH,1,0.8185,975,11350,0.7316,0.2387,20000,0.634,0.04,36100,5
Saint Joseph's College-New York,Brooklyn,NY,2,0.7538,1054,14615,0.5391,0.3161,19500,0.7158,0.042,48200,7
Salve Regina University,Newport,RI,2,0.6706,1109,18737,0.7204,0.2333,26303.5,0.6403,0.027,43700,6
University of Massachusetts-Lowell,Lowell,MA,1,0.6397,1132,11192,0.597,0.2989,19500,0.5426,0.073,45800,7
University of Scranton,Scranton,PA,2,0.7503,1121,19604,0.6741,0.2014,26442,0.8176,0.04,50600,8
Cornell University,Ithaca,NY,2,0.1556,1422,24114,0.3154,0.1636,11500,0.9334,0.015,78500,10
Stevens Institute of Technology,Hoboken,NJ,2,0.3816,1305,28317,0.6589,0.217,26500,0.7861,0.026,70600,10
University of Connecticut-Stamford,Stamford,CT,1,0.4107,1017,2653,0.3653,0.3094,18983,0.6243,0.038,51100,7
University of the Sciences,Philadelphia,PA,2,0.5635,1165,22447,0.7424,0.2632,27000,0.7181,0.024,87000,8
Utica College,Utica,NY,2,0.8542,946,15638,0.7214,0.3817,18000,0.4715,0.085,38300,4
CUNY Bernard M Baruch College,New York,NY,1,0.2483,1225,6305,0.142,0.4502,10000,0.6687,0.061,50200,8
Niagara University,Niagara University,NY,2,0.6633,1038,13010,0.644,0.2916,21000,0.6513,0.067,37600,6
Boston College,Chestnut Hill,MA,2,0.3222,1375,27441,0.4131,0.1371,19000,0.913,0.014,72500,10
