INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
Salisbury University,Salisbury,MD,1,0.5494,1145,5967,0.5213,0.2209,16250,0.6681,0.065,43200,9
Northwood University-Texas,Cedar Hill,TX,2,0.2578,924,9873,0.8244,0.5229,18750,0.3083,0.096,42600,2
Southwestern Oklahoma State University,Weatherford,OK,1,0.9026,990,3700,0.6484,0.3921,10500,0.3292,0.188,40900,5
Middle Tennessee State University,Murfreesboro,TN,1,0.6996,1011,5632,0.5732,0.4485,15000,0.4565,0.116,34900,5
Southwestern University,Georgetown,TX,2,0.5217,1168,16516,0.5244,0.259,20644,0.7008,0.084,44300,10
Jackson State University,Jackson,MS,1,0.6464,910,5600,0.7633,0.6476,23750,0.3852,0.149,27600,7
Texas A & M University-Commerce,Commerce,TX,1,0.6818,987,7721,0.5986,0.4948,15000,0.4518,0.11,36700,4
Wingate University,Wingate,NC,2,0.793,1013,12360,0.7468,0.3824,15750,0.5305,0.073,49400,7
Citadel Military College of South Carolina,Charleston,SC,1,0.8041,1080,10577,0.5215,0.2355,19500,0.6885,0.057,46800,9
Wofford College,Spartanburg,SC,2,0.688,1186,15560,0.412,0.1902,19500,0.8156,0.026,42800,10
East Tennessee State University,Johnson City,TN,1,0.8649,1026,6934,0.5122,0.4367,14250,0.4129,0.124,33700,4
Judson College,Marion,AL,2,0.7388,1023,7626,0.711,0.4788,14250,0.4051,0.117,25300,2
Tennessee Technological University,Cookeville,TN,1,0.9316,1071,4888,0.4547,0.3695,11000,0.5064,0.087,35700,7
The University of Texas-Pan American,Edinburg,TX,1,0.6217,937,3951,0.424,0.6362,9621,0.393,0.124,36200,7
Clark Atlanta University,Atlanta,GA,2,0.568,880,16788,0.8796,0.7078,20000,0.3893,0.124,31000,4
Georgetown University,Washington,DC,2,0.1697,1398,35085,0.2823,0.1325,17125,0.9245,0.009,95600,11
Nicholls State University,Thibodaux,LA,1,0.8694,1030,4893,0.4958,0.3935,11555,0.4126,0.086,35100,5
Northwestern Oklahoma State University,Alva,OK,1,0.598,930,3135,0.4301,0.4177,7500,0.314,0.16,32800,2
Watkins College of Art Design & Film,Nashville,TN,2,0.3498,971,18212,0.6587,0.4471,16000,0.3704,0.11,31800,3
Kennesaw State University,Kennesaw,GA,1,0.5654,1068,5776,0.5646,0.4179,15000,0.4338,0.086,38700,7
The Baptist College of Florida,Graceville,FL,2,0.4257,1062,8251,0.6105,0.6292,14425,0.3684,0.056,27400,9
Florida Atlantic University,Boca Raton,FL,1,0.4773,1039,5301,0.3996,0.3999,12500,0.4105,0.076,39200,7
Savannah College of Art and Design,Savannah,GA,2,0.6547,1078,24510,0.5547,0.2601,21521.5,0.683,0.087,31700,9
University of North Carolina at Pembroke,Pembroke,NC,1,0.7204,926,3693,0.6704,0.5349,13260,0.327,0.159,29900,5
Washington College,Chestertown,MD,2,0.6655,1168,20826,0.6872,0.1488,25000,0.6821,0.035,41800,9
Lynchburg College,Lynchburg,VA,2,0.6369,1002,15444,0.7209,0.2994,21500,0.5619,0.048,38900,8
Winston-Salem State University,Winston-Salem,NC,1,0.5565,889,4135,0.7249,0.572,20499,0.4553,0.16,31400,7
Williams Baptist College,Walnut Ridge,AR,2,0.6798,1001,7323,0.6307,0.5265,10000,0.3985,0.128,29400,2
Texas A & M University-Texarkana,Texarkana,TX,1,0.3723,993,5426,0.3971,0.4616,10013.5,0.547,0.104,35600,1
Limestone College,Gaffney,SC,2,0.5322,1010,10219,0.6825,0.5202,20000,0.3644,0.131,36100,2
Dallas Baptist University,Dallas,TX,2,0.423,1078,14692,0.6157,0.3034,17348.5,0.5518,0.069,42000,5
Bridgewater College,Bridgewater,VA,2,0.5493,1033,11097,0.7288,0.2672,19500,0.5991,0.06,36500,7
