ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,CDR3,mn_earn_wne_p7
0.2548,1009,24802,0.7105,0.7813,0.4167,20375,0.05,0
0.6558,841,11093,0.6887,0.4199,0.4763,12000,0.073,1
0.8291,851,4029,0.6838,0.8872,0.7918,19696.5,0.158,1
0.4847,863,7156,0.4717,0.6554,0.6292,5500,0.072,1
0.1386,666,8204,0.6273,0.8983,0.8758,9000,0.237,1
0.5715,849,3357,0.7247,0.7652,0.7029,18137,0.229,1
0.5125,830,7813,0.6219,0.8735,0.8265,15854.5,0.191,1
0.7122,723,11219,0.5296,0.9334,0.8344,16750,0.255,1
0.5496,851,3202,0.7133,0.7136,0.5873,17003.5,0.132,1
0.3774,860,7858,0.5167,0.679,0.5945,14750,0.286,1
0.4589,780,13782,0.5121,0.8382,0.7025,12498,0.28,1
0.666,812,9477,0.6298,0.9369,0.7762,18750,0.168,1
0.5848,750,10362,0.5421,0.8698,0.6777,14250,0.284,1
0.5079,851,9292,0.6027,0.8187,0.7041,21750,0.226,1
0.2732,802,9451,0.509,0.8214,0.841,11351,0.258,1
0.4363,863,4270,0.689,0.8446,0.7346,23750,0.162,1
0.8747,850,9803,0.425,0.7102,0.5998,9500,0.097,1
0.4377,778,11414,0.6763,0.8841,0.7706,15150,0.251,1
0.2272,825,3148,0.5296,0.7721,0.69,20969,0.159,1
0.3668,826,10822,0.5614,0.834,0.6938,18750,0.274,1
0.6738,749,7143,0.6125,0.8594,0.7454,20250,0.373,1
0.7458,1070,11539,0.7206,0.7575,0.4064,16450,0.057,2
0.9615,970,10496,0.6429,0.7877,0.6089,19414.5,0.108,2
0.9688,948,10824,0.6186,0.735,0.4962,18000,0.134,2
0.7127,1019,8642,0.5163,0.581,0.4437,9500,0.087,2
0.6825,1060,18008,0.7826,0.7824,0.4424,27000,0.054,2
0.5803,1175,26289,0.8257,0.6126,0.2429,23000,0.044,2
0.9459,811,5310,0.6495,0.8463,0.6829,17000,0.137,2
0.7204,926,3693,0.6759,0.6704,0.5349,13260,0.159,2
