ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
0.8989,823,9063,0.6314,0.8204,0.7115,19500,0.2914,0.163,0
0.5125,830,7813,0.6219,0.8735,0.8265,15854.5,0.2517,0.191,0
0.8371,970,7625,0.6321,0.6476,0.4006,10750,0.2705,0.131,0
0.7388,1023,7626,0.5974,0.711,0.4788,14250,0.4051,0.117,0
0.9615,970,10496,0.6429,0.7877,0.6089,19414.5,0.1935,0.108,0
0.43,882,10367,0.6123,0.8145,0.7429,19000,0.2619,0.22,0
0.6821,990,8133,0.7389,0.6414,0.4758,17750,0.3466,0.132,0
0.8092,1028,6530,0.7079,0.6883,0.4192,12542,0.3216,0.134,0
0.8604,1064,6914,0.6787,0.5549,0.3743,15000,0.3342,0.071,0
0.9957,950,9161,0.5781,0.7193,0.5604,13500,0.3161,0.096,0
0.8503,1008,3247,0.6937,0.4734,0.4559,10043,0.4025,0.174,0
0.5407,974,8457,0.6731,0.5745,0.4531,10828,0.3874,0.106,0
0.6221,1011,2994,0.5716,0.5985,0.5296,10443,0.2854,0.154,0
0.6081,989,3465,0.6433,0.5054,0.5152,10500,0.2973,0.181,0
0.5274,1077,6265,0.6973,0.4818,0.4027,14250,0.2438,0.105,0
0.277,842,2277,0.5621,0.7276,0.6986,13698.5,0.2583,0.299,0
0.5736,1028,2204,0.6217,0.4018,0.5053,8240,0.2291,0.251,0
0.6798,1001,7323,0.5878,0.6307,0.5265,10000,0.3985,0.128,0
0.492,986,18089,0.6829,0.8793,0.6475,11806,0.4125,0.084,0
0.526,939,6026,0.5592,0.629,0.5029,11000,0.227,0.093,0
0.8212,972,6199,0.6535,0.576,0.4025,11250,0.3005,0.16,0
0.9434,967,5059,0.6263,0.5624,0.4132,12061,0.3306,0.139,0
0.875,1049,5566,0.6504,0.4633,0.3175,10500,0.3662,0.072,0
