ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
0.9299,1019,4231,0.0324,0.5171,5500,0.0484,0.053,25200,0
0.8924,993,6118,0.5873,0.3475,13575,0.3347,0.08,32700,1
0.5628,1007,13466,0.8015,0.4368,14250,0.5445,0.077,32700,1
0.7878,1035,19952,0.6706,0.4208,18144,0.4144,0.079,41400,1
0.6608,934,12537,0.807,0.4933,15000,0.3415,0.103,34300,1
0.7945,950,5156,0.4133,0.3439,12500,0.3014,0.126,33700,2
0.9711,939,9752,0.7138,0.5686,10035,0.3143,0.115,29100,2
0.5873,930,24896,0.6713,0.6154,12000,0.5667,0.05,22900,2
0.829,967,5331,0.4761,0.2644,12000,0.462,0.048,34300,2
0.5045,970,7609,0.7411,0.6166,8821,0.5,0.096,28000,2
0.8306,910,5564,0.6121,0.4344,11726.5,0.4159,0.107,34100,2
0.6832,970,10948,0.804,0.4339,11500,0.493,0.079,35000,2
0.8927,1010,5673,0.6531,0.4184,14616.5,0.4111,0.083,30700,3
0.5782,1018,16468,0.7725,0.4232,26334,0.5,0.061,43600,3
0.9649,1016,9302,0.6238,0.4149,15000,0.4166,0.135,33400,3
0.6546,1010,3689,0.2639,0.1591,15750,0.4283,0.075,34500,3
0.5613,1010,7618,0.6689,0.4297,16500,0.5095,0.094,39600,3
0.4405,1015,9016,0.7832,0.4304,14500,0.4242,0.102,30300,3
0.6875,996,13726,0.7496,0.5156,18012,0.4667,0.083,29200,3
0.6629,1045,11833,0.6477,0.352,20500,0.4484,0.04,37500,4
0.644,1028,11915,0.742,0.3859,15090,0.5278,0.05,36100,4
0.8423,1027,11171,0.7178,0.4377,24583,0.4162,0.066,48800,4
0.9372,1049,11132,0.8743,0.4805,20422,0.4545,0.078,38700,4
0.6955,1050,11004,0.8421,0.4897,17879,0.5265,0.078,35700,4
0.55,983,11569,0.7022,0.4881,14625,0.5563,0.061,34200,4
0.7596,983,10871,0.8113,0.4235,18751,0.4791,0.066,32700,4
0.8419,1050,8030,0.6017,0.3565,14317,0.5041,0.06,40000,4
0.8307,1046,13334,0.5882,0.2362,16435,0.4858,0.046,43600,4
0.8663,1030,6045,0.6503,0.3224,18225,0.5141,0.042,36200,5
0.5337,1050,10189,0.7934,0.3527,19932,0.5799,0.037,36400,5
0.5545,1053,12680,0.7139,0.3358,23000,0.5678,0.043,35200,5
0.7547,990,4901,0.5988,0.4259,14054,0.3073,0.12,35800,5
0.9521,1044,12625,0.7807,0.398,19500,0.4549,0.042,28700,5
0.6,950,9864,0.4332,0.2976,16825,0.3684,0.08,35700,5
0.7313,1030,7488,0.6408,0.3848,14601,0.4829,0.121,32000,5
0.7887,950,17364,0.8784,0.6102,25500,0.3852,0.083,36900,5
0.6002,1010,12848,0.7797,0.4017,24500,0.571,0.035,36400,5
0.8134,1030,5707,0.5615,0.2762,16852,0.5351,0.045,37500,6
0.851,1090,6228,0.5083,0.3198,15000,0.5337,0.079,35000,6
0.8788,1090,6878,0.5899,0.2876,15463,0.5515,0.064,38700,6
0.9576,1089,5790,0.5022,0.3595,15250,0.4637,0.078,37800,6
0.9183,1050,6843,0.5991,0.4152,16563,0.42,0.124,34200,6
0.8468,1030,6665,0.6431,0.2963,18681,0.5483,0.076,37900,6
0.8302,1048,9518,0.6339,0.3443,16500,0.5152,0.147,34100,6
0.7135,1090,11154,0.6993,0.3356,19474,0.5976,0.092,35000,6
0.737,1090,9376,0.5382,0.2087,16728,0.5529,0.036,44300,6
0.8114,1090,14038,0.7108,0.2827,19500,0.5629,0.04,38800,6
0.7419,1090,8003,0.4279,0.3036,18223,0.4567,0.086,39000,6
0.7374,1087,15523,0.6996,0.2546,22000,0.5886,0.065,37600,6
0.5512,1087,12527,0.761,0.3883,22000,0.5979,0.098,40200,6
0.8285,1070,5745,0.653,0.337,18700,0.5804,0.041,35600,7
0.7173,1077,12140,0.8425,0.3386,18624,0.6062,0.027,39600,7
0.9515,1083,10115,0.6958,0.3903,21500,0.655,0.061,49600,7
0.3333,1070,13052,0.786,0.3497,22683.5,0.68,0.024,44600,7
0.6365,1125,16358,0.6976,0.2388,20000,0.639,0.054,39900,7
0.7485,1068,10078,0.6297,0.3149,18054,0.5516,0.032,40100,7
