ADM_RATE,SAT_AVG,TUITFTE,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7,RET_FT4
0.7182,836,3958,0.9001,0.9451,9500,0.0536,0.241,30000,0
0.7411,868,13814,0.9026,0.5689,11250,0.3181,0.128,31900,1
0.7127,1019,8642,0.581,0.4437,9500,0.4345,0.087,30400,1
0.522,865,5807,0.5858,0.6055,10250,0.2851,0.154,34200,1
0.6154,777,11818,0.8486,0.6713,9500,0.244,0.207,29400,1
0.3723,993,5426,0.3971,0.4616,10013.5,0.547,0.104,35600,1
0.6377,922,12442,0.6244,0.4504,9500,0.3333,0.167,29100,1
0.4847,863,7156,0.6554,0.6292,5500,0.3889,0.072,26200,1
0.9957,950,9161,0.7193,0.5604,13500,0.3161,0.096,33300,2
0.5429,950,8906,0.6733,0.4119,19700,0.419,0.079,37300,2
0.4489,950,12230,0.6872,0.4155,11306.5,0.432,0.103,25300,2
0.7992,950,4433,0.4546,0.4777,9860,0.3059,0.163,33300,2
0.5131,990,7357,0.5113,0.3902,14625,0.2024,0.105,41000,2
0.4321,989,9586,0.8232,0.4818,9500,0.4575,0.099,41700,2
0.7423,968,8282,0.589,0.454,11750,0.4251,0.109,39300,2
0.6074,950,4173,0.371,0.4093,9000,0.138,0.122,32000,2
0.5326,956,11021,0.7853,0.5515,20850,0.4322,0.087,30300,2
0.6447,941,9187,0.8905,0.7646,12000,0.3818,0.193,27600,2
0.6649,965,3141,0.6396,0.4803,14210,0.3513,0.17,31900,3
0.5445,950,3608,0.4682,0.4721,8250,0.2131,0.156,31800,3
0.709,897,2104,0.4247,0.4609,8198.5,0.1581,0.144,31100,3
0.5736,1028,2204,0.4018,0.5053,8240,0.2291,0.251,30200,3
0.4767,890,3926,0.5161,0.4554,9375,0.2264,0.162,32800,3
0.5365,980,8213,0.6239,0.3839,10500,0.2928,0.056,31500,3
0.9615,970,10496,0.7877,0.6089,19414.5,0.1935,0.108,29400,3
0.4267,905,2262,0.6041,0.5948,13000,0.2365,0.268,29700,3
0.4216,945,5591,0.6743,0.4914,15250,0.515,0.1,31500,3
0.3498,971,18212,0.6587,0.4471,16000,0.3704,0.11,31800,3
0.4106,963,16798,0.7529,0.4072,21000,0.3974,0.049,55500,3
0.8595,1009,5498,0.5866,0.5384,15000,0.3603,0.137,32100,4
0.6422,982,5701,0.6512,0.4555,15750,0.405,0.089,35100,4
0.5667,938,5615,0.7148,0.5603,19250,0.4059,0.11,30200,4
0.7403,994,5769,0.512,0.3858,13573,0.403,0.11,37800,4
0.7178,993,6401,0.5099,0.3738,14950,0.4422,0.074,37400,4
0.4339,982,9336,0.4495,0.3685,19000,0.6389,0.079,31300,4
0.8941,950,5429,0.5628,0.4927,12500,0.3543,0.121,33100,4
0.9459,811,5310,0.8463,0.6829,17000,0.4034,0.137,31200,4
0.671,1019,5630,0.9071,0.472,14000,0.3786,0.105,29900,4
0.4168,890,6458,0.7236,0.5034,15000,0.3717,0.141,30200,4
0.7757,1069,4864,0.6922,0.3527,11420.5,0.3714,0.089,34100,5
0.7337,970,4087,0.5201,0.4926,12500,0.2969,0.164,33300,5
0.4808,1062,5712,0.4931,0.4102,12500,0.4232,0.097,34600,5
0.6136,1057,11980,0.4826,0.3906,12349.5,0.4831,0.155,34000,5
0.5036,1072,7042,0.3476,0.3202,11750,0.3214,0.09,35400,5
0.8694,1030,4893,0.4958,0.3935,11555,0.4126,0.086,35100,5
0.6151,1030,4070,0.4129,0.3639,12806,0.3817,0.129,36200,5
0.5274,1077,6265,0.4818,0.4027,14250,0.2438,0.105,33400,5
0.8102,1007,4759,0.5561,0.329,14000,0.3792,0.114,36700,5
0.5502,871,4159,0.6948,0.5506,18071,0.3246,0.171,33500,5
0.2165,1030,9565,0.68,0.5021,12612,0.5017,0.079,33500,5
0.4058,985,17950,0.678,0.4301,16500,0.5263,0.12,34800,5
0.8217,1029,7185,0.4958,0.3523,14875,0.5291,0.102,33200,6
0.6232,1040,18352,0.6871,0.352,20500,0.6242,0.057,33800,6
0.5087,1041,12423,0.7011,0.3991,17750,0.5151,0.097,39300,6
0.8326,1036,6192,0.6811,0.4613,16500,0.3083,0.113,32000,6
0.4737,1010,12056,0.5116,0.2938,15000,0.3821,0.077,45900,6
0.7225,1030,8375,0.6564,0.4045,19976,0.5587,0.093,32600,6
0.6002,1029,5580,0.5872,0.4432,16000,0.5541,0.075,33500,6
0.8252,1030,18584,0.5773,0.2393,20500,0.5758,0.031,49100,6
0.5823,1050,19894,0.682,0.5144,20000,0.5504,0.083,40600,6
0.5443,1048,15391,0.7093,0.5739,18000,0.4804,0.116,57200,6
0.8092,1028,6530,0.6883,0.4192,12542,0.3216,0.134,33700,6
0.4964,1036,16526,0.5355,0.3024,21732.5,0.5283,0.052,46200,6
0.6002,1009,5757,0.5983,0.4278,14921.5,0.3888,0.128,33000,6
0.6464,910,5600,0.7633,0.6476,23750,0.3852,0.149,27600,7
0.4773,1039,5301,0.3996,0.3999,12500,0.4105,0.076,39200,7
0.6217,937,3951,0.424,0.6362,9621,0.393,0.124,36200,7
0.9316,1071,4888,0.4547,0.3695,11000,0.5064,0.087,35700,7
0.5565,889,4135,0.7249,0.572,20499,0.4553,0.16,31400,7
0.793,1013,12360,0.7468,0.3824,15750,0.5305,0.073,49400,7
0.5654,1068,5776,0.5646,0.4179,15000,0.4338,0.086,38700,7
0.772,1049,12553,0.713,0.4226,16250,0.4664,0.043,40700,7
0.4894,1087,14418,0.5601,0.2347,20698.5,0.5637,0.075,37500,8
0.5486,1113,15493,0.5769,0.1991,19500,0.6216,0.05,41700,8
0.6482,1106,6667,0.5046,0.3415,15500,0.6105,0.083,40200,8
0.637,1082,15833,0.7143,0.2525,19557,0.6224,0.088,40600,8
0.8102,1030,14552,0.7329,0.3424,22375,0.6644,0.049,40400,8
0.4745,1105,12545,0.6516,0.4228,20600,0.5668,0.072,41600,8
0.6505,999,14945,0.7224,0.3052,14926,0.6355,0.043,37300,8
0.6573,1110,13545,0.6764,0.3896,20325,0.6431,0.05,30300,8
0.66,1121,15548,0.5209,0.2254,18797,0.6759,0.062,36800,8
0.4877,1105,11251,0.7997,0.6601,18375,0.6196,0.076,36000,8
0.6861,1140,10316,0.4597,0.2481,14000,0.6184,0.072,42200,9
0.7853,1117,21461,0.5887,0.344,21500,0.6952,0.06,44000,9
0.6007,1118,22145,0.5693,0.1232,22000,0.6852,0.026,49100,9
0.5494,1145,5967,0.5213,0.2209,16250,0.6681,0.065,43200,9
0.5861,1181,17273,0.7665,0.2842,23000,0.7177,0.026,42300,9
0.5889,1199,19343,0.5177,0.3163,23000,0.6705,0.06,42200,9
0.663,1116,8919,0.4932,0.289,17750,0.5904,0.076,46000,9
0.7104,1138,19956,0.706,0.2341,23000,0.6617,0.094,39100,9
0.8062,1180,8322,0.4728,0.3281,16500,0.4835,0.077,43400,9
0.4304,1154,5931,0.456,0.5809,13750,0.5161,0.089,41700,9
0.6798,1126,7701,0.4774,0.218,16250,0.6115,0.039,36200,9
0.688,1186,15560,0.412,0.1902,19500,0.8156,0.026,42800,10
0.606,1200,10441,0.4922,0.2394,19125,0.7268,0.047,43100,10
0.5217,1168,16516,0.5244,0.259,20644,0.7008,0.084,44300,10
0.4739,1206,23965,0.3421,0.1447,19500,0.76,0.043,47600,10
0.5747,1215,19090,0.4916,0.22,21000,0.7472,0.048,44000,10
0.5398,1200,24332,0.3375,0.0911,20500,0.8165,0.024,43600,10
0.7249,1199,10296,0.4396,0.2991,15250,0.6754,0.06,44800,10
0.8274,1215,13186,0.361,0.1687,18250,0.6792,0.061,44100,10
0.3308,1297,27560,0.4048,0.1356,22723,0.8083,0.014,62700,11
0.2561,1353,19936,0.2134,0.1313,15750,0.9246,0.022,47700,11
0.3116,1313,23186,0.4229,0.2005,18370,0.8502,0.017,57100,11
0.1674,1454,18601,0.1798,0.1723,7727,0.9111,0.013,66600,11
0.1697,1398,35085,0.2823,0.1325,17125,0.9245,0.009,95600,11
0.1342,1444,23668,0.371,0.1366,6569,0.9423,0.011,95000,11
0.1274,1475,22796,0.1349,0.1429,13000,0.9252,0.013,65500,11
