ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,CDR3,C150_4
0.9299,1019,4231,0.2182,0.0324,0.5171,5500,0.053,0
0.7182,836,3958,0.3313,0.9001,0.9451,9500,0.241,1
0.9141,838,2396,0.6471,0.1891,0.6159,5250,0.163,1
0.768,937,3180,0.766,0.131,0.5842,6713.5,0.141,1
0.3328,825,4338,0.5279,0.8294,0.7576,17411,0.209,1
0.277,842,2277,0.5621,0.7276,0.6986,13698.5,0.299,1
0.6074,950,4173,0.5357,0.371,0.4093,9000,0.122,1
0.355,880,1347,0.6118,0.6943,0.5964,12250,0.225,1
0.7843,878,7629,0.6667,0.9395,0.7909,10001,0.254,1
0.709,897,2104,0.604,0.4247,0.4609,8198.5,0.144,1
0.8221,940,2420,0.5735,0.4854,0.5133,7711,0.201,1
0.5898,930,3329,0.6667,0.7502,0.5868,12000,0.153,1
0.9975,1000,3881,0.8286,0.188,0.4463,9000,0.115,1
0.6154,777,11818,0.4825,0.8486,0.6713,9500,0.207,1
0.5445,950,3608,0.6044,0.4682,0.4721,8250,0.156,1
0.6221,1011,2994,0.5716,0.5985,0.5296,10443,0.154,1
0.2272,825,3148,0.5296,0.7721,0.69,20969,0.159,1
0.1386,666,8204,0.6273,0.8983,0.8758,9000,0.237,1
0.6081,989,3465,0.6433,0.5054,0.5152,10500,0.181,1
0.2732,802,9451,0.509,0.8214,0.841,11351,0.258,1
0.8299,847,2937,0.7024,0.857,0.7396,17126,0.206,1
0.598,930,3135,0.5917,0.4301,0.4177,7500,0.16,2
0.854,937,4444,0.6585,0.4357,0.4086,11780,0.198,2
0.6752,871,4287,0.8206,0.3924,0.6447,12000.5,0.076,2
0.8302,865,14224,0.3946,0.5312,0.4313,8099,0.136,2
0.7204,926,3693,0.6759,0.6704,0.5349,13260,0.159,2
0.7992,950,4433,0.5737,0.4546,0.4777,9860,0.163,2
0.6499,879,4226,0.7203,0.8228,0.6169,21500,0.206,2
0.7411,868,13814,0.4927,0.9026,0.5689,11250,0.128,2
0.2328,1020,4011,0.815,0.2383,0.5231,7500,0.095,2
0.3405,950,3994,0.7795,0.1671,0.5446,8251,0.103,2
0.5496,851,3202,0.7133,0.7136,0.5873,17003.5,0.132,2
1,925,5163,0.5922,0.6187,0.4913,10500,0.127,2
0.9026,990,3700,0.7008,0.6484,0.3921,10500,0.188,2
0.4363,863,4270,0.689,0.8446,0.7346,23750,0.162,2
0.5502,871,4159,0.678,0.6948,0.5506,18071,0.171,2
0.7225,934,6358,0.5476,0.8535,0.6241,10250,0.106,2
0.359,890,4459,0.6743,0.7496,0.6277,24250,0.099,2
0.6377,922,12442,0.5248,0.6244,0.4504,9500,0.167,2
0.8747,850,9803,0.425,0.7102,0.5998,9500,0.097,2
0.8291,851,4029,0.6838,0.8872,0.7918,19696.5,0.158,2
0.448,1030,4439,0.6328,0.3998,0.3334,11670,0.087,2
0.7446,879,3587,0.6331,0.4821,0.4052,13282.5,0.217,2
0.457,980,2738,0.6388,0.6086,0.4738,11028,0.173,2
0.7757,1069,4864,0.6912,0.6922,0.3527,11420.5,0.089,2
0.9711,939,9752,0.6414,0.7138,0.5686,10035,0.115,2
0.5176,886,4608,0.7023,0.6808,0.4873,16500,0.161,2
0.3273,830,2973,0.5858,0.8818,0.7652,19000,0.242,2
0.9728,990,3721,0.6614,0.6786,0.6068,11500,0.158,2
0.875,1049,5566,0.6504,0.4633,0.3175,10500,0.072,2
0.3435,924,11909,0.7876,0.7411,0.5066,22000,0.107,2
0.5103,930,8975,0.5556,0.7765,0.607,14531,0.102,2
0.8608,1030,8308,0.7007,0.6362,0.3567,17459,0.061,3
0.7878,1035,19952,0.5832,0.6706,0.4208,18144,0.079,3
0.6398,1011,9158,0.7381,0.7528,0.447,19114.5,0.129,3
0.5818,1010,8892,0.722,0.7042,0.4312,15882.5,0.083,3
0.6464,910,5600,0.7552,0.7633,0.6476,23750,0.149,3
0.4979,915,9598,0.6371,0.7001,0.5005,18845,0.103,3
0.9981,923,4743,0.6989,0.4967,0.5802,12500,0.098,3
0.4842,1033,8025,0.6,0.7219,0.5109,19500,0.056,3
0.6701,912,16503,0.6852,0.6855,0.5181,20437.5,0.084,3
0.7474,986,12425,0.6915,0.8197,0.4338,16750,0.118,3
0.6759,977,9837,0.65,0.7966,0.4613,18500,0.14,3
0.9262,995,11488,0.6654,0.9082,0.4204,14250,0.097,3
0.5509,894,12274,0.6667,0.7313,0.4221,17625,0.15,3
0.7766,1050,6355,0.7129,0.4894,0.3715,16309,0.114,3
0.6798,1001,7323,0.5878,0.6307,0.5265,10000,0.128,3
0.5667,938,5615,0.6683,0.7148,0.5603,19250,0.11,3
0.5924,982,12419,0.5908,0.6637,0.4571,16865,0.141,3
0.5734,945,11611,0.4953,0.6822,0.4621,14250,0.148,3
0.8359,972,13775,0.7296,0.4346,0.2925,15969.5,0.083,3
0.7587,1073,12112,0.7521,0.3877,0.2777,16750,0.05,3
0.6151,1030,4070,0.6913,0.4129,0.3639,12806,0.129,3
0.6872,910,6821,0.7753,0.3844,0.4426,12500,0.058,3
0.6095,1001,9212,0.6008,0.3499,0.2158,15807,0.078,4
0.8047,940,14317,0.6939,0.876,0.3502,15782.5,0.121,4
0.6136,1057,11980,0.6943,0.4826,0.3906,12349.5,0.155,4
0.8911,1049,5136,0.6768,0.6301,0.3314,15772,0.069,4
0.5926,972,9142,0.6667,0.7906,0.4785,15500,0.1,4
0.4808,1062,5712,0.7003,0.4931,0.4102,12500,0.097,4
