ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
0.7204,926,3693,0.6759,0.6704,0.5349,13260,0.327,0.159,2
0.5736,1028,2204,0.6217,0.4018,0.5053,8240,0.2291,0.251,2
0.359,890,4459,0.6743,0.7496,0.6277,24250,0.3183,0.099,2
0.6081,989,3465,0.6433,0.5054,0.5152,10500,0.2973,0.181,2
0.1992,887,4431,0.697,0.9045,0.7229,24500,0.4249,0.18,2
0.5137,896,5603,0.597,0.6191,0.4574,10250,0.1867,0.127,2
0.5898,930,3329,0.6667,0.7502,0.5868,12000,0.2608,0.153,2
1,909,15184,0.5217,0.7168,0.4762,9500,0.309,0.125,2
0.2218,920,6158,0.436,0.6479,0.4636,10500,0.2494,0.1,2
0.6074,950,4173,0.5357,0.371,0.4093,9000,0.138,0.122,2
0.4331,899,9394,0.4528,0.6169,0.5373,10125,0.5119,0.151,2
0.8503,1008,3247,0.6937,0.4734,0.4559,10043,0.4025,0.174,2
0.9646,928,12358,0.5256,0.7681,0.506,14397,0.4588,0.075,2
0.6499,879,4226,0.7203,0.8228,0.6169,21500,0.3443,0.206,2
0.489,924,10118,0.6429,0.75,0.4936,16651,0.3933,0.096,2
0.1301,1050,379,0.8601,0,0.6166,17645,0.6454,0,2
0.5509,894,12274,0.6667,0.7313,0.4221,17625,0.3968,0.15,2
0.457,980,2738,0.6388,0.6086,0.4738,11028,0.3576,0.173,2
0.6246,990,2778,0.6909,0.4761,0.464,11296.5,0.3788,0.175,2
0.5148,927,12367,0.6397,0.8011,0.457,19000,0.4341,0.121,2
0.9711,939,9752,0.6414,0.7138,0.5686,10035,0.3143,0.115,2
0.6835,845,17320,0.5909,0.649,0.292,9500,0.4315,0.193,2
0.7843,878,7629,0.6667,0.9395,0.7909,10001,0.1897,0.254,2
0.6273,825,12333,0.5597,0.6564,0.5754,9320.5,0.3891,0.153,2
0.8735,930,5789,0.723,0.7777,0.4558,18750,0.4175,0.105,2
0.9934,930,11502,0.6437,0.7837,0.4411,14200,0.3506,0.125,2
0.6154,777,11818,0.4825,0.8486,0.6713,9500,0.244,0.207,2
0.9987,1015,11560,0.7054,0.6511,0.5288,9500,0.3254,0.088,2
0.875,1049,5566,0.6504,0.4633,0.3175,10500,0.3662,0.072,2
0.6293,908,6008,0.5918,0.4269,0.3216,11500,0.4273,0.146,2
0.9754,895,12258,0.7681,0.7361,0.5069,19813,0.6049,0.046,2
0.7127,1019,8642,0.5163,0.581,0.4437,9500,0.4345,0.087,2
0.6887,973,11674,0.647,0.7398,0.4667,15750,0.3615,0.088,3
0.8309,996,5645,0.6719,0.4984,0.3675,15517,0.2594,0.109,3
0.9311,1021,16202,0.6736,0.6506,0.3669,12500,0.4404,0.1,3
0.8371,970,7625,0.6321,0.6476,0.4006,10750,0.2705,0.131,3
0.9183,1050,6843,0.7476,0.5991,0.4152,16563,0.42,0.124,3
0.9423,1090,6877,0.7344,0.5602,0.3912,15259.5,0.4708,0.102,3
0.5926,972,9142,0.6667,0.7906,0.4785,15500,0.4455,0.1,3
0.851,1090,6228,0.7525,0.5083,0.3198,15000,0.5337,0.079,3
0.6002,1029,5580,0.7386,0.5872,0.4432,16000,0.5541,0.075,3
0.9049,973,7816,0.734,0.7292,0.362,20500,0.5119,0.088,3
0.9262,995,11488,0.6654,0.9082,0.4204,14250,0.4084,0.097,3
0.8911,1049,5136,0.6768,0.6301,0.3314,15772,0.4624,0.069,3
0.6799,1034,12449,0.7333,0.838,0.5273,14000,0.4514,0.106,3
0.7239,1050,9944,0.6696,0.5203,0.3118,20500,0.5185,0.081,3
0.6506,1006,15278,0.5728,0.7442,0.439,12580,0.4407,0.106,3
0.4707,988,12320,0.7241,0.644,0.3232,18385,0.5303,0.072,3
0.994,883,12181,0.6637,0.8757,0.5171,14250,0.3478,0.13,3
0.8302,1048,9518,0.7774,0.6339,0.3443,16500,0.5152,0.147,3
0.4177,939,14382,0.6866,0.781,0.4955,21500,0.4839,0.092,3
0.7831,891,12774,0.6044,0.7619,0.4037,20000,0.3059,0.108,3
0.9348,915,7400,0.7572,0.7167,0.388,19000,0.5286,0.081,3
0.6232,1040,18352,0.7248,0.6871,0.352,20500,0.6242,0.057,3
0.6398,1011,9158,0.7381,0.7528,0.447,19114.5,0.3844,0.129,3
0.9977,936,4589,0.5984,0.5878,0.4172,12500,0.2698,0.113,3
0.4808,1062,5712,0.7003,0.4931,0.4102,12500,0.4232,0.097,3
0.6321,1124,8890,0.8506,0.5196,0.2707,15331,0.4875,0.063,3
0.7337,970,4087,0.6807,0.5201,0.4926,12500,0.2969,0.164,3
0.7945,950,5156,0.6081,0.4133,0.3439,12500,0.3014,0.126,3
0.7686,1058,14098,0.6994,0.6239,0.3274,18812.5,0.5207,0.056,4
0.7438,1043,11903,0.737,0.5886,0.2861,21500,0.5634,0.047,4
0.7536,1064,12726,0.8003,0.7072,0.3155,16000,0.6047,0.129,4
0.6929,1039,14067,0.8222,0.8951,0.4743,17000,0.5614,0.044,4
0.7158,1047,13453,0.8407,0.7918,0.5169,18275,0.6466,0.071,4
0.5441,1030,13210,0.673,0.7873,0.4521,15750,0.5348,0.035,4
0.683,1096,13827,0.8678,0.6025,0.3567,19000,0.5206,0.028,4
0.8443,1018,13724,0.7368,0.6715,0.3729,19200,0.571,0.056,4
0.6995,1054,13098,0.7436,0.866,0.5057,15000,0.5304,0.053,4
0.3826,1050,14698,0.7696,0.5863,0.3764,18554,0.5969,0.063,4
0.6431,1049,12890,0.7588,0.8164,0.4428,22000,0.5827,0.077,4
0.6791,1100,13817,0.7885,0.9151,0.306,21500,0.6118,0.078,4
0.6137,1104,12657,0.8077,0.5335,0.3051,15750,0.5362,0.025,4
0.5736,1030,14846,0.7566,0.7378,0.4107,21333.5,0.6456,0.098,4
0.7713,1047,12937,0.7348,0.8373,0.3307,21500,0.5519,0.06,4
0.644,1028,11915,0.703,0.742,0.3859,15090,0.5278,0.05,4
0.673,1098,11945,0.6839,0.5983,0.3646,16625,0.5305,0.059,4
0.6633,1038,13010,0.8072,0.644,0.2916,21000,0.6513,0.067,4
0.4685,1035,12791,0.4836,0.7106,0.3924,15224,0.3438,0.067,4
0.7069,1045,12104,0.7226,0.8301,0.4371,18245.5,0.5,0.06,4
0.8219,1085,12252,0.7553,0.7258,0.3432,21445,0.5656,0.043,4
0.6809,1105,13044,0.7995,0.6587,0.2281,25249,0.6643,0.033,4
0.5565,931,15204,0.719,0.7718,0.3833,18750,0.4558,0.065,4
0.6555,1030,5622,0.7363,0.59,0.2906,15116,0.4904,0.047,4
0.8788,1090,6878,0.7649,0.5899,0.2876,15463,0.5515,0.064,4
0.4877,1105,11251,0.7746,0.7997,0.6601,18375,0.6196,0.076,4
0.972,1079,14013,0.7773,0.6487,0.4199,14000,0.4294,0.046,4
0.8285,1070,5745,0.789,0.653,0.337,18700,0.5804,0.041,4
0.7595,1011,11016,0.7345,0.7184,0.3911,15000,0.576,0.06,4
0.7157,1095,10936,0.7415,0.6083,0.2378,16950,0.512,0.085,4
0.6287,1030,10476,0.6721,0.6316,0.4344,16500,0.3198,0.09,4
0.7752,1048,15322,0.7613,0.7859,0.395,20500,0.6952,0.061,4
0.9108,1113,14223,0.8755,0.6783,0.3758,19000,0.7386,0.024,4
0.6565,1070,7622,0.7861,0.5423,0.3985,18550,0.5381,0.083,4
0.7336,1040,12438,0.8639,0.7551,0.3058,26000,0.7653,0.026,4
0.5493,1033,11097,0.7627,0.7288,0.2672,19500,0.5991,0.06,4
0.6422,1177,11928,0.8037,0.4939,0.2136,21500,0.6192,0.099,4
0.6631,1082,6081,0.7162,0.6934,0.4644,16600,0.4513,0.12,4
0.969,1064,10899,0.6579,0.7345,0.2839,16749,0.4747,0.043,4
0.8663,1030,6045,0.7196,0.6503,0.3224,18225,0.5141,0.042,4
0.53,1112,13810,0.8146,0.5598,0.2167,21500,0.6738,0.017,4
0.8359,972,13775,0.7296,0.4346,0.2925,15969.5,0.3843,0.083,4
0.8468,1030,6665,0.7694,0.6431,0.2963,18681,0.5483,0.076,4
0.9137,1050,6697,0.7178,0.5571,0.3778,15000,0.4924,0.102,4
0.7533,1123,14829,0.8007,0.5926,0.2177,22192,0.6319,0.051,4
0.8604,1064,6914,0.6787,0.5549,0.3743,15000,0.3342,0.071,4
0.6683,1024,11160,0.6794,0.711,0.3734,16625,0.4033,0.034,4
0.4564,1026,5027,0.8376,0.6593,0.3528,18750,0.6033,0.07,4
0.8691,1010,5008,0.7074,0.5095,0.3073,15348,0.478,0.072,4
0.7186,1014,7466,0.8112,0.6789,0.3148,18500,0.6078,0.055,4
0.658,1089,14535,0.8281,0.7483,0.2678,27000,0.6493,0.041,4
0.6955,1050,11004,0.693,0.8421,0.4897,17879,0.5265,0.078,4
0.6125,1034,11624,0.8182,0.583,0.3568,21733,0.4294,0.073,4
0.6673,1130,12306,0.8091,0.6866,0.3482,22225,0.7186,0.05,4
0.7778,960,12041,0.7175,0.5758,0.2435,15683.5,0.5543,0.057,4
0.4894,1087,14418,0.7941,0.5601,0.2347,20698.5,0.5637,0.075,4
0.9542,979,13494,0.6873,0.7132,0.4574,18500,0.4795,0.091,4
0.4774,1069,4792,0.8079,0.7085,0.4081,17750,0.6676,0.056,4
0.6802,1070,12654,0.7699,0.9085,0.3866,20593,0.6695,0.066,4
0.5392,949,11983,0.7155,0.6212,0.4579,17995,0.3824,0.123,4
0.5374,1010,13164,0.6184,0.8772,0.4269,12000,0.3723,0.0755,4
0.6453,1017,6540,0.781,0.6099,0.2644,17500,0.508,0.058,4
0.5576,1131,11922,0.7942,0.7455,0.3979,18459,0.6201,0.066,4
0.5991,1087,11066,0.8879,0.5586,0.4459,16500,0.7267,0.057,4
0.5381,1032,11621,0.8283,0.7476,0.5132,16750,0.5246,0.103,4
0.4863,1110,4850,0.7803,0.704,0.3913,18750,0.5785,0.07,4
0.576,964,14058,0.7226,0.8832,0.5289,18065,0.555,0.075,4
0.8755,989,15013,0.6934,0.6543,0.3152,22062.5,0.5821,0.105,4
0.6002,1010,12848,0.7276,0.7797,0.4017,24500,0.571,0.035,4
0.7241,1050,6076,0.6583,0.5949,0.3557,14815,0.5017,0.095,4
0.8932,1119,15042,0.7444,0.6768,0.2637,21758,0.6261,0.064,4
0.8285,1030,10693,0.7371,0.68,0.3969,20875,0.5491,0.077,4
0.7031,1165,12205,0.8262,0.4288,0.2257,17000,0.6448,0.066,4
0.5701,1070,14802,0.7912,0.7366,0.4271,20500,0.4194,0.08,4
0.7542,1119,14324,0.8041,0.651,0.3106,19500,0.623,0.014,4
0.3751,1070,14877,0.7859,0.5554,0.3155,23000,0.6036,0.076,4
0.5154,1056,4932,0.7757,0.705,0.3498,19000,0.6443,0.065,4
0.6903,1088,12625,0.8102,0.7572,0.2441,24225,0.609,0.054,4
0.7281,1086,15220,0.8048,0.7034,0.2451,24000,0.6425,0.044,5
0.62,1078,11937,0.8898,0.5688,0.564,17000,0.6617,0.061,5
0.7528,1070,15258,0.8262,0.6722,0.364,18750,0.623,0.047,5
0.718,1084,14793,0.7821,0.7156,0.3198,18791.5,0.7402,0.021,5
0.7674,1075,16566,0.7524,0.6377,0.348,18750,0.5832,0.049,5
0.6349,1065,13149,0.7496,0.6959,0.2628,23000,0.5672,0.052,5
0.6049,1090,16682,0.8101,0.6753,0.2337,24250,0.5808,0.056,5
0.7784,1100,12480,0.8641,0.676,0.2238,23128.5,0.7919,0.029,5
0.6396,1096,15293,0.7921,0.7876,0.333,24000,0.7088,0.031,5
0.5221,1075,16142,0.751,0.6435,0.2473,17550.5,0.6159,0.067,5
0.6387,1105,16223,0.715,0.7122,0.3019,22353,0.5529,0.07,5
0.6086,1053,16275,0.8158,0.7115,0.4338,23000,0.6326,0.06,5
0.423,1078,14692,0.6973,0.6157,0.3034,17348.5,0.5518,0.069,5
0.7689,1109,12109,0.7753,0.6626,0.2688,19500,0.6849,0.03,5
0.7765,1077,15149,0.8091,0.6875,0.2519,24124,0.6262,0.046,5
0.7743,1127,12292,0.8591,0.4739,0.2571,16707.5,0.6383,0.048,5
0.6845,1010,14864,0.8228,0.774,0.3397,19500,0.7286,0.055,5
0.5997,1031,14554,0.8247,0.6566,0.4401,18656,0.6311,0.058,5
0.7587,1105,13869,0.8421,0.6629,0.3073,22000,0.7175,0.032,5
0.7251,1101,15382,0.802,0.6311,0.3012,20000,0.6749,0.051,5
0.772,1049,12553,0.7479,0.713,0.4226,16250,0.4664,0.043,5
0.6852,1066,7019,0.8038,0.5879,0.4046,16500,0.539,0.062,5
0.4745,1105,12545,0.7778,0.6516,0.4228,20600,0.5668,0.072,5
0.7213,1061,9535,0.7609,0.717,0.3799,19500,0.4903,0.097,5
0.6173,1053,15424,0.7254,0.6656,0.264,19944,0.5871,0.056,5
0.7999,1075,14460,0.8066,0.7044,0.2888,21501,0.666,0.056,5
0.4472,1079,8221,0.7263,0.3578,0.2253,16945,0.5188,0.058,5
0.9617,1050,15956,0.8021,0.7051,0.2581,20500,0.613,0.067,5
0.6875,1035,12554,0.8525,0.7069,0.2912,25000,0.6998,0.047,5
0.7604,1102,14903,0.7436,0.8018,0.296,21500,0.5821,0.049,5
0.5486,1113,15493,0.7836,0.5769,0.1991,19500,0.6216,0.05,5
0.8514,1067,13845,0.7677,0.7655,0.5112,18500,0.5116,0.055,5
0.637,1082,15833,0.7737,0.7143,0.2525,19557,0.6224,0.088,5
0.7327,1050,7114,0.6437,0.5512,0.4379,16490,0.3,0.11,5
0.7998,1144,16087,0.8449,0.68,0.2426,24500,0.7101,0.02,5
0.6992,1049,12548,0.7098,0.678,0.3435,14250,0.5569,0.068,5
0.6892,1023,13619,0.6716,0.5765,0.2474,16625,0.5375,0.069,5
0.7318,1075,13381,0.6284,0.5765,0.4868,12500,0.4388,0.09,5
0.3745,1008,13615,0.6667,0.4587,0.2791,19250,0.3902,0.079,5
0.5795,1024,13214,0.7037,0.7265,0.3106,23412.5,0.524,0.063,5
0.6117,1045,8128,0.7303,0.5297,0.4019,18832,0.417,0.06,5
0.6913,1102,9693,0.8659,0.5255,0.2865,19125,0.5681,0.06,5
0.7018,1105,15633,0.7841,0.8048,0.2774,20750,0.6501,0.077,5
0.7417,1108,14391,0.8672,0.418,0.2585,18309,0.6653,0.058,5
0.6211,1068,6960,0.868,0.667,0.3564,18750,0.6549,0.044,5
0.6892,1110,10026,0.816,0.6022,0.2557,18750,0.7162,0.04,5
0.6289,1046,10561,0.7465,0.5946,0.379,17613,0.4832,0.08,5
0.7523,1015,11867,0.8148,0.8301,0.3399,23000,0.5398,0.051,5
0.4683,1058,5412,0.8289,0.6861,0.2687,18750,0.6951,0.036,5
0.8102,1030,14552,0.777,0.7329,0.3424,22375,0.6644,0.049,5
0.7822,1109,8284,0.7509,0.5882,0.2431,18925,0.5883,0.044,5
0.7656,1050,16097,0.8176,0.748,0.3353,20568,0.5662,0.042,5
0.8194,1125,16212,0.8065,0.6743,0.2104,23496,0.7417,0.025,5
0.726,1046,15256,0.8571,0.8074,0.4377,20432,0.6057,0.049,5
0.6408,1062,19202,0.7458,0.7216,0.3026,24750,0.5827,0.038,5
0.876,1057,14109,0.8289,0.5742,0.3656,19843,0.4774,0.061,5
0.6329,941,14621,0.6693,0.7399,0.4854,19298,0.3277,0.099,5
0.937,916,12008,0.6561,0.6908,0.4863,23375,0.4426,0.097,5
0.7762,976,16643,0.7105,0.6131,0.346,22500,0.5132,0.069,5
0.5592,993,13342,0.7073,0.74,0.4485,17500,0.5549,0.042,5
0.7204,1221,12390,0.8998,0.4135,0.152,19130,0.7931,0.014,5
0.6958,1013,10524,0.7195,0.5366,0.3659,16500,0.4161,0.086,5
0.6365,1125,16358,0.788,0.6976,0.2388,20000,0.639,0.054,5
0.8307,1046,13334,0.7057,0.5882,0.2362,16435,0.4858,0.046,6
0.5729,900,10152,0.4853,0.3394,0.2022,14454.5,0.4494,0.065,6
0.542,1199,24891,0.9236,0.522,0.1768,21500,0.8484,0.077,6
0.8771,1192,16762,0.8462,0.3298,0.1722,15000,0.6969,0.047,6
0.7141,1015,12102,0.7747,0.5642,0.3831,16362,0.4358,0.086,6
0.8062,1180,8322,0.8098,0.4728,0.3281,16500,0.4835,0.077,6
0.5587,1088,15275,0.8172,0.6674,0.3145,20000,0.6246,0.052,6
0.7676,1112,17987,0.8183,0.644,0.3086,22695,0.7045,0.027,6
0.7249,1199,10296,0.8563,0.4396,0.2991,15250,0.6754,0.06,6
0.4,855,14657,0.6167,0.5559,0.4061,15500,0.3375,0.179,6
0.7791,1063,20140,0.7952,0.6716,0.2661,22500,0.6081,0.059,6
0.8271,960,7317,0.7361,0.6989,0.3888,21500,0.5199,0.077,6
0.7994,1027,8498,0.8194,0.6392,0.3456,21500,0.6086,0.077,6
0.8199,995,7030,0.8125,0.6823,0.3355,21500,0.5029,0.077,6
0.9485,1144,16210,0.8504,0.6746,0.27,20500,0.7136,0.036,6
0.9212,1009,19064,0.8269,0.5797,0.2424,21000,0.6258,0.043,6
0.5264,969,5323,0.8234,0.3193,0.2708,11000,0.4574,0.076,6
0.6692,931,20075,0.7021,0.6274,0.2555,18625,0.4502,0.086,6
0.8731,955,7505,0.6766,0.6653,0.365,21500,0.4333,0.077,6
0.4732,1141,12355,0.8411,0.4645,0.1508,19710,0.7585,0.06,6
0.4365,1145,19336,0.8179,0.3302,0.1847,21500,0.4939,0.085,6
0.7351,1045,13678,0.7489,0.6847,0.2422,20500,0.5777,0.049,6
0.8408,1052,7616,0.8324,0.7036,0.3156,21500,0.6995,0.077,6
0.5782,1018,16468,0.6517,0.7725,0.4232,26334,0.5,0.061,6
0.5545,1102,5818,0.815,0.6069,0.3747,16750,0.6638,0.059,6
0.493,1081,17514,0.8154,0.6253,0.4494,24250,0.6065,0.116,6
0.6007,1118,22145,0.8261,0.5693,0.1232,22000,0.6852,0.026,7
0.5987,1163,21544,0.8536,0.5915,0.3448,20500,0.7047,0.06,7
0.5979,1158,23856,0.9078,0.5326,0.1341,27000,0.8504,0.023,7
0.7365,1145,20151,0.8482,0.7405,0.1673,27000,0.7447,0.019,7
0.5838,1241,19780,0.8755,0.6299,0.1878,25000,0.7807,0.038,7
0.4949,1158,21538,0.919,0.5699,0.2677,27000,0.8108,0.037,7
0.6443,1237,19299,0.8683,0.348,0.1415,20500,0.6974,0.047,7
0.6121,1215,16598,0.9221,0.4277,0.1879,21000,0.7922,0.03,7
0.4739,1206,23965,0.9021,0.3421,0.1447,19500,0.76,0.043,7
0.4311,1235,11663,0.9347,0.5193,0.18,21500,0.8443,0.017,7
0.4713,1258,25968,0.9051,0.5467,0.2042,21500,0.8051,0.042,7
0.6016,1232,19189,0.8691,0.6848,0.3128,24500,0.6388,0.052,7
0.7091,1133,21131,0.8673,0.6856,0.1441,26000,0.8483,0.004,7
0.6792,1268,10866,0.9517,0.3616,0.1501,21000,0.8284,0.016,7
0.914,1195,22327,0.8541,0.6567,0.299,22934,0.7101,0.046,7
0.6988,1154,22283,0.8803,0.6318,0.1904,22875,0.6136,0.037,7
0.8584,1057,19167,0.7422,0.6868,0.2279,20955,0.5966,0.045,7
0.7673,1231,25538,0.8678,0.3973,0.1856,20832,0.7752,0.019,7
0.5613,1258,16043,0.9087,0.5513,0.1706,22000,0.8044,0.042,7
0.7916,1121,22466,0.8309,0.5785,0.2905,19500,0.6409,0.028,7
0.69,1171,15801,0.8202,0.6878,0.4101,21500,0.5947,0.066,7
0.6726,1025,21499,0.7549,0.7225,0.2699,20850,0.5601,0.058,7
0.7659,1206,12730,0.8219,0.5969,0.267,21812,0.6453,0.06,7
0.6468,1178,17724,0.9191,0.4917,0.1192,21000,0.8001,0.037,7
0.668,1195,19068,0.9002,0.5196,0.2189,22454,0.755,0.011,7
0.7233,1129,18087,0.8384,0.6926,0.2248,21000,0.747,0.037,7
0.6387,1121,18854,0.8883,0.6583,0.3352,21700,0.6632,0.056,7
0.6814,1098,20803,0.8112,0.6059,0.2951,21325,0.6251,0.037,7
0.463,1125,12396,0.7424,0.8121,0.4765,21000,0.3878,0.059,7
0.8617,1165,18396,0.8755,0.5738,0.2023,22250,0.751,0.042,7
0.4678,930,16547,0.5997,0.7424,0.5181,21500,0.3729,0.057,7
0.4312,1258,30523,0.8821,0.4603,0.1565,19500,0.7989,0.033,7
0.4066,1175,14855,0.7673,0.7886,0.4086,23250,0.528,0.069,7
0.7683,1043,20091,0.7599,0.5818,0.3557,19500,0.5146,0.059,7
0.9219,1090,20413,0.805,0.6392,0.255,22697,0.6786,0.033,7
0.872,972,18965,0.7692,0.672,0.4201,18750,0.4792,0.054,7
0.8067,974,20243,0.717,0.3043,0.1752,18325.5,0.3902,0.095,7
0.6489,1057,15841,0.8102,0.7211,0.2892,22212.5,0.6923,0.068,7
0.3704,1347,19017,0.9303,0.5092,0.1781,26000,0.8959,0.024,7
0.9515,1083,10115,0.7776,0.6958,0.3903,21500,0.655,0.061,7
0.2549,1432,27890,0.9422,0.3964,0.137,23000,0.8799,0.009,8
0.507,1302,25050,0.8891,0.3247,0.1735,19000,0.7902,0.04,8
0.1697,1398,35085,0.9598,0.2823,0.1325,17125,0.9245,0.009,8
0.0881,1504,26409,0.9934,0.2933,0.1419,17610,0.9268,0.014,8
0.1702,1439,26201,0.9799,0.2478,0.1903,11248,0.9536,0.018,8
0.0978,1446,28107,0.979,0.2454,0.1364,10695.5,0.947,0.014,8
0.1173,1397,28851,0.9622,0.0862,0.1163,12086,0.9254,0,8
0.489,1316,26055,0.9402,0.4356,0.1156,25000,0.9008,0.02,8
0.0815,1503,28012,0.9788,0.1992,0.1825,13000,0.9307,0.017,8
0.3728,1313,27943,0.9171,0.5721,0.1557,24334,0.8804,0.014,8
0.1556,1422,24114,0.9677,0.3154,0.1636,11500,0.9334,0.015,8
0.4044,1332,28909,0.9134,0.3559,0.1855,18750,0.8169,0.028,8
0.1984,1380,29928,0.9599,0.3826,0.2308,21500,0.9117,0.018,8
0.1495,1423,30863,0.9654,0.1963,0.1376,18000,0.9326,0.006,8
0.2638,1370,29302,0.9312,0.2698,0.1154,15062.5,0.9086,0.027,8
0.1843,1392,26455,0.9666,0.2301,0.0958,18543,0.9024,0.011,8
0.3231,1394,24465,0.9553,0.4433,0.1424,25759.5,0.8256,0.042,8
0.0918,1425,29320,0.9714,0.2317,0.1444,15164,0.9452,0.013,8
0.2719,1384,30431,0.9403,0.3445,0.1375,15500,0.9295,0.018,8
0.3222,1375,27441,0.9484,0.4131,0.1371,19000,0.913,0.014,8
0.1716,1391,42339,0.9515,0.2514,0.1103,17777.5,0.936,0.016,8
0.2951,1306,30266,0.941,0.4098,0.1061,25000,0.9076,0.013,8
0.1884,1428,28845,0.964,0.301,0.1132,17300,0.9219,0.023,8
0.2605,1352,31648,0.925,0.4131,0.1987,21500,0.8331,0.025,8
