ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
0.2548,1009,24802,0.7105,0.7813,0.4167,20375,0.5313,0.05,0
0.3544,884,12589,0.5918,0.8707,0.7682,20000,0.4566,0.114,1
0.5125,830,7813,0.6219,0.8735,0.8265,15854.5,0.2517,0.191,1
0.1386,666,8204,0.6273,0.8983,0.8758,9000,0.2019,0.237,1
0.8299,847,2937,0.7024,0.857,0.7396,17126,0.2908,0.206,1
0.7122,723,11219,0.5296,0.9334,0.8344,16750,0.2036,0.255,1
0.666,812,9477,0.6298,0.9369,0.7762,18750,0.5505,0.168,1
0.9858,775,14259,0.5714,0.8698,0.7865,9500,0.049,0.226,1
0.4589,780,13782,0.5121,0.8382,0.7025,12498,0.2606,0.28,1
0.277,842,2277,0.5621,0.7276,0.6986,13698.5,0.2583,0.299,1
0.3551,864,7470,0.6996,0.8179,0.8498,23537,0.495,0.184,1
0.5079,851,9292,0.6027,0.8187,0.7041,21750,0.3568,0.226,1
0.8747,850,9803,0.425,0.7102,0.5998,9500,0.3676,0.097,1
0.3774,860,7858,0.5167,0.679,0.5945,14750,0.1797,0.286,1
0.2335,760,9809,0.4571,0.8312,0.7616,12250,0.1685,0.19,1
0.2732,802,9451,0.509,0.8214,0.841,11351,0.2,0.258,1
0.5836,863,9932,0.7,0.4496,0.416,7000,0.0838,0.379,1
0.3968,854,11470,0.7014,0.7098,0.6206,21500,0.5217,0.104,1
0.4884,878,6493,0.5806,0.4873,0.3941,12000,0.4,0.112,1
0.5715,849,3357,0.7247,0.7652,0.7029,18137,0.4159,0.229,1
0.8291,851,4029,0.6838,0.8872,0.7918,19696.5,0.3463,0.158,1
0.5496,851,3202,0.7133,0.7136,0.5873,17003.5,0.3215,0.132,1
0.4767,890,3926,0.6286,0.5161,0.4554,9375,0.2264,0.162,2
0.709,897,2104,0.604,0.4247,0.4609,8198.5,0.1581,0.144,2
0.6377,922,12442,0.5248,0.6244,0.4504,9500,0.3333,0.167,2
0.5565,889,4135,0.75,0.7249,0.572,20499,0.4553,0.16,2
0.6221,1011,2994,0.5716,0.5985,0.5296,10443,0.2854,0.154,2
0.4267,905,2262,0.6012,0.6041,0.5948,13000,0.2365,0.268,2
0.5445,950,3608,0.6044,0.4682,0.4721,8250,0.2131,0.156,2
