ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
0.8269,1061,26288,0.6543,1,0.3267,13650.5,0.2881,0.043,0
0.7482,930,8619,0.6279,0.5427,0.3942,13000,0.5111,0.054,1
0.6321,932,3199,0.5812,0.3851,0.4102,9436,0.2875,0.2,1
0.9434,967,5059,0.6263,0.5624,0.4132,12061,0.3306,0.139,2
0.7304,1020,5643,0.6693,0.4882,0.3855,18166,0.367,0.106,2
0.3225,1067,14565,0.7661,0.6272,0.333,19500,0.5459,0.037,3
0.972,1079,14013,0.7773,0.6487,0.4199,14000,0.4294,0.046,3
0.6929,1039,14067,0.8222,0.8951,0.4743,17000,0.5614,0.044,3
0.905,1070,10722,0.8799,0.6008,0.3618,20000,0.6652,0.071,3
0.617,1079,10827,0.7603,0.6407,0.3735,19500,0.4909,0.036,3
0.6977,980,15125,0.7609,0.7302,0.3797,19895,0.5232,0.049,3
0.7766,1050,6355,0.7129,0.4894,0.3715,16309,0.3801,0.114,3
0.3745,1008,13615,0.6667,0.4587,0.2791,19250,0.3902,0.079,3
0.6957,1029,9051,0.663,0.592,0.3514,14250,0.4638,0.059,3
0.6458,1038,5090,0.7769,0.3877,0.3846,14164.5,0.4828,0.13,3
0.9963,1036,2404,0.6755,0.2567,0.3881,7725,0.6011,0.029,3
0.5709,1066,5380,0.6473,0.5257,0.3843,8250,0.526,0.067,3
0.4579,1021,6147,0.8853,0.3327,0.4061,12900.5,0.5347,0.056,4
0.4624,918,5994,0.782,0.3636,0.4848,12500,0.4575,0.076,4
0.5747,845,5563,0.7926,0.4291,0.5862,14191,0.2935,0.112,4
0.8512,1003,6600,0.7733,0.3687,0.3351,12608,0.4288,0.088,4
0.5592,993,13342,0.7073,0.74,0.4485,17500,0.5549,0.042,4
0.3121,1090,6601,0.8775,0.3828,0.3956,14495,0.6616,0.052,5
0.8771,1192,16762,0.8462,0.3298,0.1722,15000,0.6969,0.047,5
0.7997,1104,15610,0.8252,0.8868,0.5391,22313,0.5431,0.067,5
0.7161,1014,5091,0.8665,0.452,0.3893,14889.5,0.5605,0.076,5
0.4444,1212,13553,0.9193,0.438,0.3798,15000,0.807,0.045,5
0.4471,1208,24444,0.9073,0.6536,0.2035,19000,0.761,0.035,6
0.668,1195,19068,0.9002,0.5196,0.2189,22454,0.755,0.011,6
0.5523,1234,17091,0.9303,0.3261,0.2489,14793.5,0.8183,0.043,6
0.7673,1231,25538,0.8678,0.3973,0.1856,20832,0.7752,0.019,6
0.7323,1175,24756,0.8602,0.5757,0.2109,24000,0.7663,0.038,6
0.1392,1454,22496,0.9749,0.1525,0.1686,8561,0.9573,0,6
0.7752,1057,21979,0.8566,0.8516,0.3232,25222,0.5387,0.047,6
0.1984,1380,29928,0.9599,0.3826,0.2308,21500,0.9117,0.018,7
0.1817,1483,26798,0.9949,0.4413,0.1314,25000,0.9082,0,7
0.3743,1298,17863,0.9189,0.4771,0.1754,22625,0.6969,0.019,7
0.1173,1397,28851,0.9622,0.0862,0.1163,12086,0.9254,0,7
