ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,CDR3,C150_4
0.7474,986,12425,0.6915,0.8197,0.4338,16750,0.118,3
0.9646,928,12358,0.5256,0.7681,0.506,14397,0.075,4
0.5154,1056,4932,0.7757,0.705,0.3498,19000,0.065,7
0.6404,1147,8653,0.8364,0.4022,0.1979,15799,0.044,7
0.8023,1145,11705,0.844,0.4784,0.3376,16250,0.085,6
0.6957,1029,9051,0.663,0.592,0.3514,14250,0.059,4
0.9183,1050,6843,0.7476,0.5991,0.4152,16563,0.124,4
0.6798,1151,19608,0.8118,0.7279,0.4674,20000,0.057,7
0.5951,1210,11793,0.9093,0.5591,0.3105,19500,0.052,9
0.467,1024,8624,0.6744,0.5491,0.3368,15000,0.099,2
0.5695,986,12484,0.6206,0.6525,0.7552,16000,0.169,1
0.1843,1392,26455,0.9666,0.2301,0.0958,18543,0.011,10
0.672,1135,17280,0.884,0.6347,0.2497,24000,0.03,8
0.1556,1422,24114,0.9677,0.3154,0.1636,11500,0.015,10
0.8096,1110,7290,0.8004,0.421,0.1542,16672,0.017,8
0.7247,1009,8604,0.7012,0.6873,0.343,17500,0.117,5
0.7611,1142,13159,0.8678,0.6802,0.3376,19909,0.06,7
0.8486,1049,4509,0.7551,0.5002,0.3442,13496.5,0.051,5
0.3116,1313,23186,0.9373,0.4229,0.2005,18370,0.017,10
0.5308,1027,10693,0.6736,0.7911,0.3881,19450,0.084,6
0.7318,1075,13381,0.6284,0.5765,0.4868,12500,0.09,4
0.2951,1306,30266,0.941,0.4098,0.1061,25000,0.013,10
0.716,964,12865,0.5763,0.8233,0.4646,16000,0.116,4
0.8408,1052,7616,0.8324,0.7036,0.3156,21500,0.077,8
0.7873,1110,23462,0.8902,0.5054,0.1357,20500,0.044,9
0.8302,1048,9518,0.7774,0.6339,0.3443,16500,0.147,5
0.3668,826,10822,0.5614,0.834,0.6938,18750,0.274,4
0.8603,953,5374,0.7281,0.6135,0.4923,14385,0.061,3
0.4524,1168,5963,0.8878,0.4783,0.4127,16954,0.074,7
0.7831,891,12774,0.6044,0.7619,0.4037,20000,0.108,2
0.9311,1021,16202,0.6736,0.6506,0.3669,12500,0.1,4
0.6258,1055,10047,0.8515,0.8076,0.4828,17250,0.065,7
0.8102,1030,14552,0.777,0.7329,0.3424,22375,0.049,7
0.5736,1030,14846,0.7566,0.7378,0.4107,21333.5,0.098,7
0.7964,943,11628,0.8197,0.5862,0.2234,22000,0.061,4
0.423,1078,14692,0.6973,0.6157,0.3034,17348.5,0.069,6
0.5764,1288,18208,0.9259,0.3979,0.1426,22991,0.042,9
0.2732,802,9451,0.509,0.8214,0.841,11351,0.258,1
0.6861,1140,10316,0.8253,0.4597,0.2481,14000,0.072,7
0.3838,1328,25125,0.9574,0.5195,0.1026,16491,0.015,10
0.2759,1313,11914,0.9609,0.3192,0.2053,15000,0.023,10
0.663,1116,8919,0.8233,0.4932,0.289,17750,0.076,6
0.854,937,4444,0.6585,0.4357,0.4086,11780,0.198,2
0.9269,964,8093,0.7981,0.7454,0.3803,19168,0.08,5
0.8889,735,18909,1,0.7407,0.5185,21747,0.066,9
0.8371,1114,7992,0.8282,0.4661,0.255,15500,0.047,8
0.5397,957,14521,0.7158,0.6679,0.4725,25000,0.065,3
0.7843,878,7629,0.6667,0.9395,0.7909,10001,0.254,1
0.6121,1215,16598,0.9221,0.4277,0.1879,21000,0.03,9
0.6805,1122,16661,0.8595,0.7079,0.2234,23000,0.022,9
0.1386,666,8204,0.6273,0.8983,0.8758,9000,0.237,1
0.4106,963,16798,0.6111,0.7529,0.4072,21000,0.049,3
0.2092,1387,27711,0.9508,0.3615,0.1837,17625,0.015,10
0.1495,1423,30863,0.9654,0.1963,0.1376,18000,0.006,10
0.7538,1054,14615,0.8371,0.5391,0.3161,19500,0.042,8
0.7218,954,4733,0.6105,0.3509,0.278,12285.5,0.137,1
0.6365,1125,16358,0.788,0.6976,0.2388,20000,0.054,7
0.6579,1024,4700,0.7663,0.4679,0.3467,11625,0.063,4
0.7561,950,12247,0.682,0.6489,0.4213,21500,0.053,4
0.851,1090,6228,0.7525,0.5083,0.3198,15000,0.079,5
0.876,1057,14109,0.8289,0.5742,0.3656,19843,0.061,4
0.3751,1070,14877,0.7859,0.5554,0.3155,23000,0.076,7
0.905,1070,10722,0.8799,0.6008,0.3618,20000,0.071,7
0.5362,981,14943,0.6991,0.7907,0.4216,20000,0.044,5
0.6482,1106,6667,0.7851,0.5046,0.3415,15500,0.083,7
0.7211,987,6004,0.7808,0.6887,0.3416,15529.5,0.078,5
0.8067,974,20243,0.717,0.3043,0.1752,18325.5,0.095,3
0.5747,1215,19090,0.8825,0.4916,0.22,21000,0.048,8
0.2272,825,3148,0.5296,0.7721,0.69,20969,0.159,1
0.18,1350,16733,0.9637,0.3021,0.3237,14480,0.038,10
0.8735,930,5789,0.723,0.7777,0.4558,18750,0.105,4
0.8431,1084,18311,0.6875,0.4813,0.231,19000,0.047,6
0.4655,1272,7411,0.9646,0.3506,0.3207,14546,0.036,10
0.972,1079,14013,0.7773,0.6487,0.4199,14000,0.046,4
0.8532,973,11148,0.7,0.7833,0.4526,22000,0.042,5
0.5969,1095,16331,0.854,0.7796,0.337,22000,0.049,7
0.5573,1007,5521,0.7,0.5697,0.5299,12750,0.18,5
0.4894,1175,5069,0.8711,0.4547,0.3771,15000,0.054,7
0.7916,1121,22466,0.8309,0.5785,0.2905,19500,0.028,7
0.7313,1030,7488,0.722,0.6408,0.3848,14601,0.121,4
0.5818,1010,8892,0.722,0.7042,0.4312,15882.5,0.083,3
0.6825,1060,18008,0.7826,0.7824,0.4424,27000,0.054,6
0.6689,1240,17262,0.9192,0.5149,0.1856,24000,0.013,9
0.5667,938,5615,0.6683,0.7148,0.5603,19250,0.11,3
0.4339,982,9336,0.6612,0.4495,0.3685,19000,0.079,7
