INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
Alaska Pacific University,Anchorage,AK,2,0.3745,1008,13615,0.6667,0.4587,0.2791,19250,0.3902,0.079,39500
Alabama A & M University,Normal,AL,1,0.8989,823,9063,0.6314,0.8204,0.7115,19500,0.2914,0.163,29600
Alabama State University,Montgomery,AL,1,0.5125,830,7813,0.6219,0.8735,0.8265,15854.5,0.2517,0.191,25200
Auburn University,Auburn University,AL,1,0.8274,1215,13186,0.8946,0.361,0.1687,18250,0.6792,0.061,44100
Birmingham Southern College,Birmingham,AL,2,0.6422,1177,11928,0.8037,0.4939,0.2136,21500,0.6192,0.099,35600
Huntingdon College,Montgomery,AL,2,0.6279,999,9074,0.6196,0.7227,0.4302,16850,0.4319,0.105,36400
Jacksonville State University,Jacksonville,AL,1,0.8326,1036,6192,0.7112,0.6811,0.4613,16500,0.3083,0.113,32000
Judson College,Marion,AL,2,0.7388,1023,7626,0.5974,0.711,0.4788,14250,0.4051,0.117,25300
Oakwood University,Huntsville,AL,2,0.3435,924,11909,0.7876,0.7411,0.5066,22000,0.3632,0.107,29400
Samford University,Birmingham,AL,2,0.7697,1153,17548,0.8673,0.3653,0.1494,20000,0.692,0.013,46500
Southeastern Bible College,Birmingham,AL,2,0.9615,970,10496,0.6429,0.7877,0.6089,19414.5,0.1935,0.108,29400
Spring Hill College,Mobile,AL,2,0.4627,1100,10653,0.7559,0.6564,0.3328,20500,0.5632,0.081,36000
The University of Alabama,Tuscaloosa,AL,1,0.5655,1171,12198,0.87,0.4148,0.2107,17750,0.6665,0.081,41700
Tuskegee University,Tuskegee,AL,2,0.3511,937,14071,0.7242,0.7374,0.6453,23687.5,0.4384,0.13,33900
University of Mobile,Mobile,AL,2,0.7125,1058,10339,0.7727,0.8009,0.5032,22500,0.4904,0.035,36300
University of Montevallo,Montevallo,AL,1,0.8729,1070,7161,0.7365,0.5872,0.4136,15872,0.4493,0.098,30700
University of South Alabama,Mobile,AL,1,0.8604,1064,6914,0.6787,0.5549,0.3743,15000,0.3342,0.071,37300
University of West Alabama,Livingston,AL,1,0.9957,950,9161,0.5781,0.7193,0.5604,13500,0.3161,0.096,33300
Arkansas Tech University,Russellville,AR,1,0.8503,1008,3247,0.6937,0.4734,0.4559,10043,0.4025,0.174,32200
Central Baptist College,Conway,AR,2,0.5407,974,8457,0.6731,0.5745,0.4531,10828,0.3874,0.106,34600
Harding University,Searcy,AR,2,0.7628,1139,11636,0.8234,0.5573,0.2631,19801.5,0.6219,0.044,35900
Hendrix College,Conway,AR,2,0.8039,1267,12547,0.878,0.4487,0.1792,19500,0.6959,0.066,35000
John Brown University,Siloam Springs,AR,2,0.6982,1144,9545,0.8239,0.5333,0.3184,17900,0.6537,0.048,46600
Lyon College,Batesville,AR,2,0.5898,1142,9863,0.6981,0.6867,0.4617,12000,0.4965,0.098,36200
Ouachita Baptist University,Arkadelphia,AR,2,0.7011,1090,10088,0.7631,0.5033,0.2702,15000,0.6022,0.066,34100
