INSTNM,CITY,STABBR,CONTROL,ADM_RATE,SAT_AVG,TUITFTE,RET_FT4,PCTFLOAN,PCTPELL,DEBT_MDN,C150_4,CDR3,mn_earn_wne_p7
Southern Arkansas University Main Campus,Magnolia,AR,1,0.6081,989,3465,0.6433,0.5054,0.5152,10500,0.2973,0.181,32400
University of Arkansas,Fayetteville,AR,1,0.5858,1156,6624,0.821,0.4084,0.2427,14990,0.601,0.067,40800
University of Arkansas at Pine Bluff,Pine Bluff,AR,1,0.277,842,2277,0.5621,0.7276,0.6986,13698.5,0.2583,0.299,25800
University of Arkansas-Fort Smith,Fort Smith,AR,1,0.5736,1028,2204,0.6217,0.4018,0.5053,8240,0.2291,0.251,30200
University of the Ozarks,Clarksville,AR,2,0.6136,1057,11980,0.6943,0.4826,0.3906,12349.5,0.4831,0.155,34000
Williams Baptist College,Walnut Ridge,AR,2,0.6798,1001,7323,0.5878,0.6307,0.5265,10000,0.3985,0.128,29400
Arizona Christian University,Phoenix,AZ,2,0.6076,1045,10013,0.6809,0.5183,0.328,13136.5,0.4737,0.056,29000
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,2,0.7898,1171,35302,0.828,0.5596,0.2884,16500,0.5915,0.046,54700
Northern Arizona University,Flagstaff,AZ,1,0.9137,1050,6697,0.7178,0.5571,0.3778,15000,0.4924,0.102,37000
Prescott College,Prescott,AZ,2,0.7293,1094,14975,0.7344,0.6478,0.4547,19874.5,0.3768,0.063,29100
University of Arizona,Tucson,AZ,1,0.7692,1106,12051,0.8148,0.3962,0.3265,13500,0.6139,0.07,43500
Azusa Pacific University,Azusa,CA,2,0.7985,1098,18430,0.8228,0.5697,0.2858,19000,0.6486,0.041,48200
California Baptist University,Riverside,CA,2,0.788,984,18014,0.7683,0.7734,0.4777,19500,0.5808,0.067,39500
California Institute of Technology,Pasadena,CA,2,0.1055,1534,15679,0.9659,0.2508,0.1063,14583,0.9307,0,66900
California Lutheran University,Thousand Oaks,CA,2,0.4802,1108,17980,0.8477,0.556,0.2578,19500,0.7005,0.038,45300
California Maritime Academy,Vallejo,CA,1,0.748,1080,8025,0.8214,0.6043,0.3762,21500,0.5871,0.058,72300
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,1,0.3123,1242,7908,0.9249,0.3482,0.1975,17500,0.6972,0.031,54800
California State University-Channel Islands,Camarillo,CA,1,0.6443,954,5852,0.7814,0.4151,0.3959,12500,0.5156,0.05,37900
California State University-Fresno,Fresno,CA,1,0.5815,920,3990,0.8323,0.3628,0.5407,14500,0.4859,0.065,38700
California State University-Long Beach,Long Beach,CA,1,0.3082,1012,5322,0.8876,0.393,0.4733,14494,0.6033,0.055,42600
California State University-Monterey Bay,Seaside,CA,1,0.444,976,4501,0.8122,0.5159,0.476,13750,0.3828,0.076,37500
California State University-Northridge,Northridge,CA,1,0.4624,918,5994,0.782,0.3636,0.4848,12500,0.4575,0.076,39700
California State University-Sacramento,Sacramento,CA,1,0.6968,945,5274,0.8251,0.4153,0.505,15000,0.4285,0.071,43000
California State University-San Marcos,San Marcos,CA,1,0.6251,966,7628,0.823,0.4157,0.431,14000,0.4791,0.064,41200
California State University-Stanislaus,Turlock,CA,1,0.7215,917,4704,0.8725,0.4286,0.5774,14000,0.5198,0.049,38600
Chapman University,Orange,CA,2,0.4471,1208,24444,0.9073,0.6536,0.2035,19000,0.761,0.035,48000
Dominican University of California,San Rafael,CA,2,0.7752,1057,21979,0.8566,0.8516,0.3232,25222,0.5387,0.047,53700
Harvey Mudd College,Claremont,CA,2,0.1817,1483,26798,0.9949,0.4413,0.1314,25000,0.9082,0,68100
Holy Names University,Oakland,CA,2,0.5668,910,17424,0.7398,0.8124,0.4618,21500,0.3548,0.059,52600
Humboldt State University,Arcata,CA,1,0.8018,1008,5300,0.7756,0.605,0.5162,15000,0.4004,0.118,32000
La Sierra University,Riverside,CA,2,0.4677,926,26008,0.7615,0.6943,0.4819,14500,0.4918,0.063,42400
Loyola Marymount University,Los Angeles,CA,2,0.5412,1202,29076,0.9144,0.4747,0.1923,20201.5,0.7583,0.039,52300
Menlo College,Atherton,CA,2,0.3705,1001,18300,0.8155,0.591,0.3333,19125,0.4076,0.097,43300
Mills College,Oakland,CA,2,0.6798,1151,19608,0.8118,0.7279,0.4674,20000,0.6142,0.057,37400
Notre Dame de Namur University,Belmont,CA,2,0.872,972,18965,0.7692,0.672,0.4201,18750,0.4792,0.054,49200
Occidental College,Los Angeles,CA,2,0.4239,1303,24394,0.9302,0.5333,0.2131,20900,0.8777,0.022,40800
Otis College of Art and Design,Los Angeles,CA,2,0.4628,1002,27612,0.8087,0.629,0.4851,26500,0.5731,0.102,44400
Pepperdine University,Malibu,CA,2,0.3734,1235,25896,0.9174,0.4412,0.2076,25000,0.8043,0.022,61700
Point Loma Nazarene University,San Diego,CA,2,0.6654,1155,18917,0.8933,0.641,0.2712,20500,0.7208,0.025,44100
Pomona College,Claremont,CA,2,0.1392,1454,22496,0.9749,0.1525,0.1686,8561,0.9573,0,51000
San Diego Christian College,El Cajon,CA,2,0.492,986,18089,0.6829,0.8793,0.6475,11806,0.4125,0.084,32700
San Diego State University,San Diego,CA,1,0.3121,1090,6601,0.8775,0.3828,0.3956,14495,0.6616,0.052,44400
San Francisco Art Institute,San Francisco,CA,2,0.8269,1061,26288,0.6543,1,0.3267,13650.5,0.2881,0.043,26300
Santa Clara University,Santa Clara,CA,2,0.5122,1294,19663,0.9498,0.3726,0.1389,19500,0.8401,0.029,64000
Scripps College,Claremont,CA,2,0.357,1364,28151,0.9319,0.3683,0.1323,12500,0.8414,0.01,41100
Simpson University,Redding,CA,2,0.555,1030,12950,0.8095,0.9457,0.5635,16666,0.4724,0.055,32500
Sonoma State University,Rohnert Park,CA,1,0.8186,1006,6880,0.8404,0.4143,0.2968,14592,0.5392,0.057,41900
Southern California Institute of Architecture,Los Angeles,CA,2,0.8667,1137,36395,0.9375,0.5472,0.4906,38000,0.5,0.097,39100
Stanford University,Stanford,CA,2,0.0569,1466,23849,0.9858,0.1343,0.1596,11500,0.9576,0.01,98600
The Master's College and Seminary,Santa Clarita,CA,2,0.6137,1104,12657,0.8077,0.5335,0.3051,15750,0.5362,0.025,39000
University of California-Berkeley,Berkeley,CA,1,0.18,1350,16733,0.9637,0.3021,0.3237,14480,0.9103,0.038,57600
University of California-Davis,Davis,CA,1,0.4521,1192,13500,0.9294,0.4467,0.4297,13626.5,0.8133,0.038,49900
University of California-Irvine,Irvine,CA,1,0.4239,1122,13713,0.9175,0.4418,0.432,15500,0.8585,0.031,47700
University of California-Riverside,Riverside,CA,1,0.62,1078,11937,0.8898,0.5688,0.564,17000,0.6617,0.061,40600
University of California-San Diego,La Jolla,CA,1,0.375,1276,13805,0.942,0.4731,0.4274,18463,0.858,0.029,51400
University of California-Santa Cruz,Santa Cruz,CA,1,0.5991,1087,11066,0.8879,0.5586,0.4459,16500,0.7267,0.057,38600
University of Redlands,Redlands,CA,2,0.672,1135,17280,0.884,0.6347,0.2497,24000,0.7295,0.03,48000
University of San Diego,San Diego,CA,2,0.4885,1228,25057,0.9021,0.4259,0.1807,19500,0.7502,0.028,57000
University of San Francisco,San Francisco,CA,2,0.6129,1161,26745,0.8646,0.5115,0.2625,23000,0.6901,0.053,58700
University of Southern California,Los Angeles,CA,2,0.1984,1380,29928,0.9599,0.3826,0.2308,21500,0.9117,0.018,68800
University of the Pacific,Stockton,CA,2,0.7265,1172,29264,0.8656,0.6292,0.4011,21250,0.5669,0.035,73700
Westmont College,Santa Barbara,CA,2,0.7016,1193,21159,0.8462,0.5517,0.2092,19500,0.7577,0.051,41400
Whittier College,Whittier,CA,2,0.6325,1043,25047,0.8292,0.6934,0.3551,21500,0.6677,0.062,37400
William Jessup University,Rocklin,CA,2,0.6929,1039,14067,0.8222,0.8951,0.4743,17000,0.5614,0.044,35700
Woodbury University,Burbank,CA,2,0.5575,987,21113,0.7458,0.6741,0.4852,27000,0.4465,0.076,43000
Colorado College,Colorado Springs,CO,2,0.2228,1323,28994,0.9608,0.3333,0.0983,17255,0.8721,0.03,34200
Colorado Mesa University,Grand Junction,CO,1,0.8212,972,6199,0.6535,0.576,0.4025,11250,0.3005,0.16,34800
Colorado School of Mines,Golden,CO,1,0.3743,1298,17863,0.9189,0.4771,0.1754,22625,0.6969,0.019,72900
Colorado State University-Pueblo,Pueblo,CO,1,0.9434,967,5059,0.6263,0.5624,0.4132,12061,0.3306,0.139,33900
Fort Lewis College,Durango,CO,1,0.875,1049,5566,0.6504,0.4633,0.3175,10500,0.3662,0.072,32300
Regis University,Denver,CO,2,0.6986,1087,18145,0.8186,0.5635,0.2602,20501,0.5807,0.032,52800
University of Colorado Boulder,Boulder,CO,1,0.8771,1192,16762,0.8462,0.3298,0.1722,15000,0.6969,0.047,43900
University of Colorado Colorado Springs,Colorado Springs,CO,1,0.91,1068,9413,0.7137,0.5042,0.3222,12500,0.4598,0.027,39400
University of Colorado Denver,Denver,CO,1,0.7587,1073,12112,0.7521,0.3877,0.2777,16750,0.4129,0.05,58300
University of Denver,Denver,CO,2,0.7673,1231,25538,0.8678,0.3973,0.1856,20832,0.7752,0.019,51700
Albertus Magnus College,New Haven,CT,2,0.6821,830,12190,0.9256,0.7824,0.5811,26313,0.6063,0.07,51800
Central Connecticut State University,New Britain,CT,1,0.6413,1006,7671,0.7681,0.5918,0.3335,16852.5,0.5191,0.08,40900
Eastern Connecticut State University,Willimantic,CT,1,0.6453,1017,6540,0.781,0.6099,0.2644,17500,0.508,0.058,38600
Post University,Waterbury,CT,3,0.8302,865,14224,0.3946,0.5312,0.4313,8099,0.3583,0.136,39300
Quinnipiac University,Hamden,CT,2,0.6722,1102,27202,0.8522,0.6188,0.1429,21852,0.7627,0.014,54200
Southern Connecticut State University,New Haven,CT,1,0.7542,921,8775,0.7522,0.6169,0.3462,17404,0.4944,0.056,38800
Trinity College,Hartford,CT,2,0.3178,1240,29677,0.9086,0.1173,0.116,19275,0.8628,0.033,51500
University of Bridgeport,Bridgeport,CT,2,0.6385,923,16601,0.6361,0.7347,0.4859,17500,0.281,0.091,40100
University of Connecticut,Storrs,CT,1,0.5366,1233,11188,0.9392,0.5013,0.2088,18983,0.8323,0.038,51100
University of Connecticut-Stamford,Stamford,CT,1,0.4107,1017,2653,0.8196,0.3653,0.3094,18983,0.6243,0.038,51100
University of Connecticut-Tri-Campus,Waterbury,CT,1,0.4207,1015,2077,0.8434,0.4705,0.3402,18983,0.5029,0.038,51100
University of Hartford,West Hartford,CT,2,0.6173,1053,15424,0.7254,0.6656,0.264,19944,0.5871,0.056,39800
University of New Haven,West Haven,CT,2,0.7441,1034,17898,0.7639,0.7151,0.2583,20500,0.5443,0.038,44700
University of Saint Joseph,West Hartford,CT,2,0.857,950,16296,0.7707,0.7711,0.3687,23627,0.5212,0.036,46100
Wesleyan University,Middletown,CT,2,0.2092,1387,27711,0.9508,0.3615,0.1837,17625,0.9154,0.015,41100
Yale University,New Haven,CT,2,0.0705,1497,14701,0.9867,0.0969,0.1273,12000,0.9779,0.009,93200
American University,Washington,DC,2,0.4312,1258,30523,0.8821,0.4603,0.1565,19500,0.7989,0.033,51500
Catholic University of America,Washington,DC,2,0.6007,1118,22145,0.8261,0.5693,0.1232,22000,0.6852,0.026,49100
Gallaudet University,Washington,DC,2,0.6558,841,11093,0.6887,0.4199,0.4763,12000,0.4828,0.073,27500
George Washington University,Washington,DC,2,0.3308,1297,27560,0.9226,0.4048,0.1356,22723,0.8083,0.014,62700
Georgetown University,Washington,DC,2,0.1697,1398,35085,0.9598,0.2823,0.1325,17125,0.9245,0.009,95600
Howard University,Washington,DC,2,0.493,1081,17514,0.8154,0.6253,0.4494,24250,0.6065,0.116,44700
University of Delaware,Newark,DE,1,0.6468,1178,17724,0.9191,0.4917,0.1192,21000,0.8001,0.037,49600
Adventist University of Health Sciences,Orlando,FL,2,0.1336,884,12441,0.7143,0.5668,0.3595,15236,0.3953,0.054,52200
Barry University,Miami,FL,2,0.4678,930,16547,0.5997,0.7424,0.5181,21500,0.3729,0.057,46500
Bethune-Cookman University,Daytona Beach,FL,2,0.666,812,9477,0.6298,0.9369,0.7762,18750,0.5505,0.168,26800
Clearwater Christian College,Clearwater,FL,2,0.7009,1026,11037,0.5826,0.5911,0.5142,13000,0.5366,0.072,35100
Eckerd College,Saint Petersburg,FL,2,0.7104,1138,19956,0.8321,0.706,0.2341,23000,0.6617,0.094,39100
Edward Waters College,Jacksonville,FL,2,0.2732,802,9451,0.509,0.8214,0.841,11351,0.2,0.258,24900
Flagler College-St Augustine,Saint Augustine,FL,2,0.4987,1096,13574,0.6687,0.6073,0.2922,16500,0.6309,0.06,33300
Florida College,Temple Terrace,FL,2,0.5875,1060,14628,0.672,0.6441,0.3729,10750,0.4978,0.072,32500
Florida Institute of Technology,Melbourne,FL,2,0.6045,1153,21950,0.7974,0.459,0.2414,8509,0.5437,0.15,49500
Florida International University,Miami,FL,1,0.4304,1154,5931,0.8354,0.456,0.5809,13750,0.5161,0.089,41700
Florida Southern College,Lakeland,FL,2,0.4989,1102,15831,0.778,0.655,0.3293,18375,0.5816,0.109,36200
Florida State University,Tallahassee,FL,1,0.5681,1212,5723,0.9171,0.465,0.3065,18750,0.7688,0.058,41900
Jacksonville University,Jacksonville,FL,2,0.4737,1010,12056,0.7172,0.5116,0.2938,15000,0.3821,0.077,45900
Northwood University-Florida,West Palm Beach,FL,2,0.5102,932,13200,0.7143,0.5529,0.3379,18750,0.3525,0.096,42600
Nova Southeastern University,Fort Lauderdale,FL,2,0.5746,1084,16935,0.7112,0.6118,0.4424,19482,0.4049,0.035,49200
Palm Beach Atlantic University,West Palm Beach,FL,2,0.8412,1061,15678,0.7335,0.5529,0.3475,16297,0.4667,0.06,40400
Rollins College,Winter Park,FL,2,0.5889,1199,19343,0.834,0.5177,0.3163,23000,0.6705,0.06,42200
Southeastern University,Lakeland,FL,2,0.5932,955,12284,0.6868,0.6401,0.4179,14250,0.3835,0.056,29900
St Thomas University,Miami Gardens,FL,2,0.4567,904,15717,0.6184,0.5998,0.511,16500,0.3829,0.072,54000
Stetson University,DeLand,FL,2,0.5925,1168,18420,0.7806,0.6566,0.3653,18050,0.6409,0.051,37800
The Baptist College of Florida,Graceville,FL,2,0.4257,1062,8251,0.8333,0.6105,0.6292,14425,0.3684,0.056,27400
The University of Tampa,Tampa,FL,2,0.5221,1075,16142,0.751,0.6435,0.2473,17550.5,0.6159,0.067,42300
University of Central Florida,Orlando,FL,1,0.4894,1175,5069,0.8711,0.4547,0.3771,15000,0.6724,0.054,40700
University of Florida,Gainesville,FL,1,0.4655,1272,7411,0.9646,0.3506,0.3207,14546,0.8654,0.036,50700
University of Miami,Coral Gables,FL,2,0.4044,1332,28909,0.9134,0.3559,0.1855,18750,0.8169,0.028,56300
University of North Florida,Jacksonville,FL,1,0.5343,1143,4980,0.8167,0.4242,0.348,14000,0.4995,0.075,39300
University of South Florida-Main Campus,Tampa,FL,1,0.4524,1168,5963,0.8878,0.4783,0.4127,16954,0.6321,0.074,38600
University of South Florida-St Petersburg,St. Petersburg,FL,1,0.4401,1070,5328,0.5991,0.4556,0.3928,16954,0.4273,0.074,38600
Warner University,Lake Wales,FL,2,0.3378,908,4616,0.4923,0.7798,0.6488,15306,0.4275,0.119,40800
Webber International University,Babson Park,FL,2,0.6377,922,12442,0.5248,0.6244,0.4504,9500,0.3333,0.167,29100
Abraham Baldwin Agricultural College,Tifton,GA,1,0.709,897,2104,0.604,0.4247,0.4609,8198.5,0.1581,0.144,31100
Albany State University,Albany,GA,1,0.1992,887,4431,0.697,0.9045,0.7229,24500,0.4249,0.18,29600
Armstrong Atlantic State University,Savannah,GA,1,0.6998,997,4637,0.6736,0.5742,0.434,12750,0.343,0.083,37700
Berry College,Mount Berry,GA,2,0.6032,1186,12900,0.7945,0.5566,0.2626,15750,0.6015,0.04,34300
Brenau University,Gainesville,GA,2,0.7829,957,12867,0.6686,0.7464,0.5206,18638,0.4554,0.05,40200
Brewton-Parker College,Mount Vernon,GA,2,0.5137,896,5603,0.597,0.6191,0.4574,10250,0.1867,0.127,31200
Clark Atlanta University,Atlanta,GA,2,0.568,880,16788,0.6506,0.8796,0.7078,20000,0.3893,0.124,31000
Clayton State University,Morrow,GA,1,0.477,939,4628,0.7273,0.6983,0.5781,18997,0.2671,0.093,36200
College of Coastal Georgia,Brunswick,GA,1,0.8221,940,2420,0.5735,0.4854,0.5133,7711,0.1737,0.201,29000
Columbus State University,Columbus,GA,1,0.5543,984,5949,0.6648,0.607,0.4559,14750,0.3012,0.114,31800
Covenant College,Lookout Mountain,GA,2,0.5704,1173,14593,0.847,0.5765,0.2958,18500,0.5808,0.033,39200
Emmanuel College,Franklin Springs,GA,2,0.4783,935,8333,0.6406,0.6385,0.5106,14335,0.4571,0.173,26100
Emory University,Atlanta,GA,2,0.2633,1363,22222,0.9438,0.3868,0.2192,19000,0.8961,0.024,68600
Fort Valley State University,Fort Valley,GA,1,0.3273,830,2973,0.5858,0.8818,0.7652,19000,0.3017,0.242,25500
Georgia College and State University,Milledgeville,GA,1,0.6798,1126,7701,0.8459,0.4774,0.218,16250,0.6115,0.039,36200
Georgia Institute of Technology-Main Campus,Atlanta,GA,1,0.5493,1352,12234,0.9552,0.3387,0.1932,20750,0.8219,0.025,64600
Georgia Southern University,Statesboro,GA,1,0.52,1094,5662,0.8048,0.6223,0.3753,16250,0.5046,0.089,36700
Gordon State College,Barnesville,GA,1,0.4529,840,1896,1,0.5603,0.5392,8250,0.1374,0.147,29800
Kennesaw State University,Kennesaw,GA,1,0.5654,1068,5776,0.7564,0.5646,0.4179,15000,0.4338,0.086,38700
Mercer University,Macon,GA,2,0.69,1171,15801,0.8202,0.6878,0.4101,21500,0.5947,0.066,52900
Morehouse College,Atlanta,GA,2,0.6684,990,12500,0.8007,0.76,0.5019,25999.5,0.5383,0.247,38000
Oglethorpe University,Atlanta,GA,2,0.5576,1131,11922,0.7942,0.7455,0.3979,18459,0.6201,0.066,37700
Paine College,Augusta,GA,2,0.4377,778,11414,0.6763,0.8841,0.7706,15150,0.2093,0.251,23200
Piedmont College,Demorest,GA,2,0.6118,1001,8071,0.7019,0.74,0.5093,16703,0.4611,0.054,37000
Point University,West Point,GA,2,0.5353,946,8779,0.4843,0.8442,0.5914,19500,0.4776,0.056,28800
Reinhardt University,Waleska,GA,2,0.514,1013,10742,0.6012,0.5408,0.4796,9500,0.2821,0.083,35500
Savannah College of Art and Design,Savannah,GA,2,0.6547,1078,24510,0.8071,0.5547,0.2601,21521.5,0.683,0.087,31700
Savannah State University,Savannah,GA,1,0.8299,847,2937,0.7024,0.857,0.7396,17126,0.2908,0.206,28600
Southern Polytechnic State University,Marietta,GA,1,0.7798,1123,6239,0.7241,0.5644,0.4136,14750,0.3657,0.063,46800
Spelman College,Atlanta,GA,2,0.3802,1024,13571,0.8808,0.7646,0.5152,25500,0.6763,0.106,41100
Toccoa Falls College,Toccoa Falls,GA,2,0.494,1000,9853,0.7514,0.7263,0.5963,15250,0.4679,0.063,25900
Truett-McConnell College,Cleveland,GA,2,0.8064,939,7499,0.6402,0.3114,0.227,9960,0.284,0.13,27700
University of Georgia,Athens,GA,1,0.5608,1247,10079,0.9417,0.4148,0.236,16831,0.8314,0.038,45800
University of West Georgia,Carrollton,GA,1,0.5385,950,5394,0.7147,0.6619,0.4763,14250,0.4287,0.104,33100
Valdosta State University,Valdosta,GA,1,0.5522,1033,5388,0.6885,0.6571,0.4592,16000,0.4017,0.102,34200
Wesleyan College,Macon,GA,2,0.4339,982,9336,0.6612,0.4495,0.3685,19000,0.6389,0.079,31300
Young Harris College,Young Harris,GA,2,0.5365,980,8213,0.614,0.6239,0.3839,10500,0.2928,0.056,31500
Brigham Young University-Hawaii,Laie,HI,2,0.3604,1081,3449,0.6132,0.2189,0.2985,5780,0.4703,0.069,36100
Chaminade University of Honolulu,Honolulu,HI,2,0.8359,972,13775,0.7296,0.4346,0.2925,15969.5,0.3843,0.083,36200
University of Hawaii at Hilo,Hilo,HI,1,0.752,967,6601,0.6982,0.4574,0.4532,11293,0.3642,0.097,31600
University of Hawaii at Manoa,Honolulu,HI,1,0.8009,1087,9277,0.7787,0.381,0.3086,13750,0.5651,0.051,40600
University of Hawaii-West Oahu,Kapolei,HI,1,0.7643,891,4390,0.677,0.3185,0.3505,8045,0.25,0.066,37300
Central College,Pella,IA,2,0.658,1089,14535,0.8281,0.7483,0.2678,27000,0.6493,0.041,38600
Clarke University,Dubuque,IA,2,0.7752,1048,15322,0.7613,0.7859,0.395,20500,0.6952,0.061,38100
Coe College,Cedar Rapids,IA,2,0.6171,1166,12732,0.7879,0.7199,0.283,21875,0.6667,0.059,40300
Cornell College,Mount Vernon,IA,2,0.6411,1182,12337,0.8272,0.7331,0.3449,25015,0.6772,0.04,35900
Dordt College,Sioux Center,IA,2,0.7542,1119,14324,0.8041,0.651,0.3106,19500,0.623,0.014,36000
Drake University,Des Moines,IA,2,0.6595,1240,18444,0.875,0.5311,0.1715,21500,0.727,0.029,57200
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,2,0.6693,1028,9772,0.7021,0.5709,0.5364,12000,0.5934,0.029,28500
Graceland University-Lamoni,Lamoni,IA,2,0.5018,969,10433,0.7031,0.6903,0.3973,18089.5,0.4704,0.092,34500
Grand View University,Des Moines,IA,2,0.9542,979,13494,0.6873,0.7132,0.4574,18500,0.4795,0.091,38500
Grinnell College,Grinnell,IA,2,0.3506,1357,15346,0.9324,0.4158,0.2097,10022.5,0.8568,0.03,41200
Iowa State University,Ames,IA,1,0.8252,1145,9395,0.8713,0.5519,0.2263,19750,0.681,0.051,44400
Iowa Wesleyan College,Mount Pleasant,IA,2,0.6012,1005,12505,0.4375,0.8341,0.5038,16595.5,0.2992,0.149,31400
Loras College,Dubuque,IA,2,0.6903,1088,12625,0.8102,0.7572,0.2441,24225,0.609,0.054,38600
Luther College,Decorah,IA,2,0.7212,1175,16383,0.8711,0.6874,0.1929,26902,0.7602,0.032,38500
Morningside College,Sioux City,IA,2,0.5337,1050,10189,0.7326,0.7934,0.3527,19932,0.5799,0.037,36400
Mount Mercy University,Cedar Rapids,IA,2,0.6845,1010,14864,0.8228,0.774,0.3397,19500,0.7286,0.055,41000
Northwestern College,Orange City,IA,2,0.7609,1095,11921,0.7914,0.7062,0.3222,20500,0.6327,0.024,32900
Saint Ambrose University,Davenport,IA,2,0.9617,1050,15956,0.8021,0.7051,0.2581,20500,0.613,0.067,40800
Simpson College,Indianola,IA,2,0.8802,1105,11958,0.7892,0.7337,0.2972,22500,0.6494,0.035,40500
University of Dubuque,Dubuque,IA,2,0.7742,926,18183,0.6393,0.8222,0.5495,17114,0.468,0.086,33700
University of Iowa,Iowa City,IA,1,0.8023,1208,13317,0.8584,0.4722,0.1906,18692.5,0.6962,0.041,47300
University of Northern Iowa,Cedar Falls,IA,1,0.8331,1030,5818,0.83,0.6131,0.2704,18500,0.6649,0.048,39700
Upper Iowa University,Fayette,IA,2,0.5818,1010,8892,0.722,0.7042,0.4312,15882.5,0.3963,0.083,39800
Waldorf College,Forest City,IA,3,0.5067,980,9351,0.487,0.7025,0.4982,12000,0.4255,0.118,31500
William Penn University,Oskaloosa,IA,2,0.5766,926,8602,0.6094,0.8033,0.4977,18740,0.3978,0.134,40100
Boise Bible College,Boise,ID,2,1,977,10490,0.66,0.6616,0.6212,10250,0.5319,0.09,27000
Boise State University,Boise,ID,1,0.7766,1050,6355,0.7129,0.4894,0.3715,16309,0.3801,0.114,34800
Brigham Young University-Idaho,Rexburg,ID,2,0.9963,1036,2404,0.6755,0.2567,0.3881,7725,0.6011,0.029,35600
Lewis-Clark State College,Lewiston,ID,1,0.9977,936,4589,0.5984,0.5878,0.4172,12500,0.2698,0.113,32900
Northwest Nazarene University,Nampa,ID,2,0.617,1079,10827,0.7603,0.6407,0.3735,19500,0.4909,0.036,35100
The College of Idaho,Caldwell,ID,2,0.905,1070,10722,0.8799,0.6008,0.3618,20000,0.6652,0.071,35300
Aurora University,Aurora,IL,2,0.7595,1011,11016,0.7345,0.7184,0.3911,15000,0.576,0.06,36800
Benedictine University,Lisle,IL,2,0.695,1030,11908,0.7322,0.5865,0.3644,17188,0.5247,0.045,45300
Blackburn College,Carlinville,IL,2,0.6799,1034,12449,0.7333,0.838,0.5273,14000,0.4514,0.106,34500
Bradley University,Peoria,IL,2,0.6694,1163,18539,0.8808,0.6731,0.2681,23677,0.7563,0.029,46000
